year,Rona
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,6
1906,0
1907,0
1908,5
1909,0
1910,0
1911,10
1912,8
1913,6
1914,19
1915,12
1916,15
1917,11
1918,15
1919,7
1920,10
1921,5
1922,10
1923,10
1924,14
1925,17
1926,8
1927,23
1928,34
1929,22
1930,23
1931,33
1932,33
1933,38
1934,32
1935,39
1936,35
1937,38
1938,48
1939,39
1940,67
1941,68
1942,96
1943,91
1944,86
1945,72
1946,99
1947,112
1948,111
1949,119
1950,111
1951,100
1952,99
1953,107
1954,83
1955,118
1956,106
1957,116
1958,104
1959,110
1960,135
1961,133
1962,136
1963,132
1964,129
1965,105
1966,153
1967,147
1968,116
1969,147
1970,138
1971,111
1972,117
1973,88
1974,51
1975,66
1976,72
1977,52
1978,35
1979,34
1980,26
1981,23
1982,24
1983,9
1984,19
1985,21
1986,24
1987,25
1988,15
1989,22
1990,20
1991,16
1992,18
1993,26
1994,24
1995,12
1996,19
1997,13
1998,19
1999,9
2000,9
2001,7
2002,10
2003,10
2004,12
2005,10
2006,12
2007,11
2008,5
2009,16
2010,11
2011,13
2012,14
