year,Roslynn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,6
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,11
1944,7
1945,10
1946,0
1947,5
1948,9
1949,14
1950,11
1951,14
1952,9
1953,12
1954,6
1955,10
1956,6
1957,20
1958,12
1959,8
1960,17
1961,16
1962,11
1963,20
1964,12
1965,12
1966,13
1967,9
1968,7
1969,10
1970,16
1971,10
1972,9
1973,8
1974,8
1975,12
1976,19
1977,22
1978,17
1979,15
1980,10
1981,8
1982,17
1983,6
1984,21
1985,9
1986,14
1987,11
1988,11
1989,11
1990,11
1991,9
1992,11
1993,0
1994,0
1995,15
1996,10
1997,5
1998,14
1999,12
2000,17
2001,14
2002,11
2003,13
2004,19
2005,17
2006,15
2007,22
2008,23
2009,29
2010,31
2011,20
2012,34
