year,Rozena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,9
1914,8
1915,8
1916,6
1917,8
1918,11
1919,14
1920,14
1921,10
1922,10
1923,10
1924,13
1925,9
1926,15
1927,12
1928,10
1929,11
1930,9
1931,10
1932,5
1933,13
1934,18
1935,9
1936,0
1937,7
1938,11
1939,10
1940,7
1941,6
1942,7
1943,8
1944,11
1945,5
1946,5
1947,9
1948,5
1949,7
1950,7
1951,12
1952,0
1953,10
1954,0
1955,0
1956,6
1957,10
1958,0
1959,9
1960,9
1961,11
1962,10
1963,5
1964,7
1965,0
1966,0
1967,5
1968,6
1969,0
1970,5
1971,5
1972,5
1973,0
1974,0
1975,0
1976,0
1977,7
1978,0
1979,0
1980,0
1981,0
1982,0
1983,8
1984,6
1985,0
1986,0
1987,0
1988,0
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
