year,Rella
1880,7
1881,10
1882,5
1883,6
1884,10
1885,10
1886,7
1887,0
1888,9
1889,5
1890,7
1891,7
1892,15
1893,10
1894,12
1895,19
1896,7
1897,15
1898,13
1899,10
1900,14
1901,11
1902,10
1903,7
1904,8
1905,7
1906,11
1907,8
1908,13
1909,11
1910,12
1911,9
1912,10
1913,18
1914,19
1915,23
1916,22
1917,24
1918,19
1919,23
1920,25
1921,26
1922,20
1923,24
1924,26
1925,23
1926,26
1927,25
1928,22
1929,19
1930,26
1931,23
1932,23
1933,12
1934,12
1935,21
1936,14
1937,18
1938,23
1939,19
1940,16
1941,18
1942,25
1943,12
1944,8
1945,18
1946,16
1947,12
1948,12
1949,14
1950,13
1951,18
1952,12
1953,13
1954,11
1955,17
1956,7
1957,11
1958,9
1959,9
1960,13
1961,7
1962,0
1963,7
1964,8
1965,0
1966,6
1967,5
1968,0
1969,0
1970,0
1971,0
1972,6
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,5
1982,0
1983,0
1984,0
1985,0
1986,6
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,6
2007,0
2008,0
2009,0
2010,0
2011,0
2012,6
