year,Ricki (F),Ricki (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000002,0.000000
1939,0.000004,0.000000
1940,0.000003,0.000000
1941,0.000004,0.000000
1942,0.000003,0.000002
1943,0.000008,0.000002
1944,0.000012,0.000003
1945,0.000016,0.000006
1946,0.000014,0.000008
1947,0.000024,0.000008
1948,0.000020,0.000012
1949,0.000022,0.000010
1950,0.000020,0.000011
1951,0.000034,0.000022
1952,0.000029,0.000025
1953,0.000023,0.000038
1954,0.000018,0.000035
1955,0.000014,0.000030
1956,0.000014,0.000028
1957,0.000012,0.000029
1958,0.000009,0.000025
1959,0.000012,0.000019
1960,0.000009,0.000017
1961,0.000009,0.000015
1962,0.000009,0.000012
1963,0.000011,0.000010
1964,0.000011,0.000010
1965,0.000009,0.000009
1966,0.000010,0.000009
1967,0.000013,0.000008
1968,0.000014,0.000009
1969,0.000012,0.000006
1970,0.000013,0.000007
1971,0.000015,0.000005
1972,0.000012,0.000004
1973,0.000014,0.000006
1974,0.000017,0.000007
1975,0.000019,0.000008
1976,0.000012,0.000005
1977,0.000013,0.000007
1978,0.000013,0.000007
1979,0.000016,0.000007
1980,0.000014,0.000006
1981,0.000019,0.000004
1982,0.000017,0.000003
1983,0.000014,0.000003
1984,0.000016,0.000005
1985,0.000014,0.000004
1986,0.000015,0.000006
1987,0.000014,0.000005
1988,0.000012,0.000007
1989,0.000013,0.000005
1990,0.000015,0.000003
1991,0.000012,0.000004
1992,0.000012,0.000005
1993,0.000016,0.000006
1994,0.000053,0.000006
1995,0.000054,0.000008
1996,0.000039,0.000004
1997,0.000036,0.000005
1998,0.000025,0.000006
1999,0.000028,0.000005
2000,0.000016,0.000004
2001,0.000018,0.000003
2002,0.000013,0.000004
2003,0.000011,0.000002
2004,0.000010,0.000000
2005,0.000009,0.000002
2006,0.000007,0.000002
2007,0.000007,0.000003
2008,0.000007,0.000002
2009,0.000006,0.000002
2010,0.000007,0.000002
2011,0.000007,0.000003
2012,0.000007,0.000000
