year,Ruthann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,5
1907,0
1908,0
1909,0
1910,5
1911,0
1912,0
1913,0
1914,5
1915,5
1916,13
1917,10
1918,14
1919,7
1920,14
1921,17
1922,20
1923,24
1924,31
1925,32
1926,29
1927,29
1928,41
1929,33
1930,34
1931,37
1932,32
1933,34
1934,39
1935,43
1936,65
1937,145
1938,169
1939,194
1940,196
1941,224
1942,247
1943,258
1944,230
1945,221
1946,244
1947,206
1948,200
1949,164
1950,150
1951,132
1952,98
1953,78
1954,90
1955,92
1956,77
1957,107
1958,110
1959,121
1960,127
1961,151
1962,117
1963,113
1964,99
1965,67
1966,99
1967,83
1968,69
1969,71
1970,56
1971,38
1972,49
1973,39
1974,39
1975,45
1976,30
1977,46
1978,34
1979,37
1980,37
1981,45
1982,39
1983,41
1984,41
1985,32
1986,30
1987,40
1988,32
1989,25
1990,24
1991,27
1992,27
1993,22
1994,18
1995,20
1996,20
1997,25
1998,27
1999,32
2000,29
2001,32
2002,20
2003,22
2004,28
2005,32
2006,27
2007,27
2008,35
2009,27
2010,26
2011,26
2012,27
