year,Rochel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,9
1948,0
1949,6
1950,6
1951,8
1952,12
1953,7
1954,11
1955,10
1956,8
1957,15
1958,20
1959,14
1960,20
1961,9
1962,14
1963,8
1964,10
1965,10
1966,14
1967,25
1968,20
1969,17
1970,26
1971,21
1972,20
1973,19
1974,23
1975,32
1976,31
1977,32
1978,28
1979,38
1980,38
1981,47
1982,44
1983,34
1984,47
1985,59
1986,51
1987,43
1988,45
1989,43
1990,43
1991,44
1992,60
1993,56
1994,42
1995,54
1996,58
1997,39
1998,58
1999,67
2000,52
2001,63
2002,87
2003,66
2004,65
2005,77
2006,88
2007,91
2008,108
2009,95
2010,94
2011,79
2012,95
