year,Regan (F),Regan (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000002
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000000
1940,0.000000,0.000000
1941,0.000000,0.000000
1942,0.000000,0.000000
1943,0.000000,0.000000
1944,0.000000,0.000000
1945,0.000000,0.000000
1946,0.000002,0.000003
1947,0.000003,0.000006
1948,0.000004,0.000005
1949,0.000004,0.000008
1950,0.000004,0.000008
1951,0.000003,0.000009
1952,0.000004,0.000008
1953,0.000003,0.000010
1954,0.000004,0.000007
1955,0.000005,0.000006
1956,0.000006,0.000009
1957,0.000004,0.000005
1958,0.000004,0.000007
1959,0.000005,0.000009
1960,0.000003,0.000014
1961,0.000004,0.000017
1962,0.000008,0.000013
1963,0.000011,0.000015
1964,0.000013,0.000022
1965,0.000013,0.000021
1966,0.000014,0.000022
1967,0.000012,0.000012
1968,0.000009,0.000008
1969,0.000011,0.000011
1970,0.000010,0.000009
1971,0.000010,0.000009
1972,0.000023,0.000009
1973,0.000036,0.000014
1974,0.000062,0.000012
1975,0.000073,0.000025
1976,0.000056,0.000016
1977,0.000061,0.000018
1978,0.000060,0.000025
1979,0.000064,0.000027
1980,0.000082,0.000023
1981,0.000042,0.000011
1982,0.000023,0.000009
1983,0.000025,0.000008
1984,0.000034,0.000009
1985,0.000029,0.000009
1986,0.000028,0.000006
1987,0.000027,0.000011
1988,0.000031,0.000009
1989,0.000036,0.000012
1990,0.000041,0.000013
1991,0.000053,0.000013
1992,0.000057,0.000011
1993,0.000076,0.000017
1994,0.000098,0.000018
1995,0.000108,0.000014
1996,0.000134,0.000015
1997,0.000156,0.000021
1998,0.000167,0.000015
1999,0.000165,0.000016
2000,0.000157,0.000021
2001,0.000200,0.000017
2002,0.000197,0.000016
2003,0.000176,0.000014
2004,0.000190,0.000017
2005,0.000170,0.000015
2006,0.000131,0.000015
2007,0.000140,0.000020
2008,0.000112,0.000019
2009,0.000105,0.000016
2010,0.000106,0.000015
2011,0.000076,0.000017
2012,0.000089,0.000016
2013,0.000081,0.000012
2014,0.000064,0.000014
2015,0.000071,0.000014
2016,0.000059,0.000013
2017,0.000053,0.000016
2018,0.000046,0.000011
2019,0.000043,0.000010
2020,0.000035,0.000008
