year,Roque
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,7
1916,0
1917,0
1918,0
1919,10
1920,10
1921,12
1922,17
1923,8
1924,11
1925,6
1926,14
1927,13
1928,14
1929,7
1930,10
1931,10
1932,13
1933,6
1934,14
1935,11
1936,8
1937,8
1938,9
1939,9
1940,14
1941,13
1942,17
1943,18
1944,15
1945,13
1946,8
1947,12
1948,14
1949,14
1950,14
1951,17
1952,12
1953,16
1954,15
1955,25
1956,18
1957,18
1958,25
1959,19
1960,27
1961,27
1962,15
1963,24
1964,23
1965,15
1966,23
1967,23
1968,18
1969,24
1970,22
1971,26
1972,23
1973,32
1974,21
1975,32
1976,26
1977,42
1978,26
1979,40
1980,33
1981,33
1982,33
1983,31
1984,29
1985,31
1986,38
1987,18
1988,28
1989,30
1990,35
1991,41
1992,43
1993,49
1994,37
1995,40
1996,39
1997,45
1998,32
1999,39
2000,40
2001,29
2002,45
2003,39
2004,53
2005,33
2006,39
2007,29
2008,41
2009,37
2010,24
2011,39
2012,29
