year,Rafaela
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,6
1888,0
1889,6
1890,0
1891,8
1892,5
1893,0
1894,0
1895,6
1896,0
1897,5
1898,6
1899,8
1900,6
1901,7
1902,5
1903,19
1904,9
1905,8
1906,8
1907,6
1908,16
1909,23
1910,17
1911,18
1912,18
1913,25
1914,22
1915,24
1916,30
1917,28
1918,25
1919,26
1920,35
1921,42
1922,49
1923,42
1924,56
1925,48
1926,45
1927,41
1928,42
1929,37
1930,40
1931,33
1932,34
1933,29
1934,36
1935,21
1936,26
1937,25
1938,30
1939,12
1940,24
1941,13
1942,26
1943,21
1944,31
1945,27
1946,19
1947,21
1948,41
1949,33
1950,42
1951,28
1952,29
1953,32
1954,26
1955,18
1956,30
1957,21
1958,27
1959,27
1960,21
1961,16
1962,19
1963,28
1964,24
1965,23
1966,18
1967,19
1968,18
1969,15
1970,18
1971,20
1972,23
1973,24
1974,28
1975,22
1976,16
1977,17
1978,32
1979,24
1980,26
1981,26
1982,19
1983,36
1984,27
1985,21
1986,20
1987,16
1988,16
1989,26
1990,24
1991,30
1992,14
1993,22
1994,28
1995,17
1996,19
1997,16
1998,23
1999,28
2000,20
2001,21
2002,24
2003,22
2004,28
2005,32
2006,25
2007,27
2008,35
2009,41
2010,34
2011,60
2012,35
