year,Rayleen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,8
1943,6
1944,0
1945,0
1946,0
1947,6
1948,6
1949,8
1950,9
1951,0
1952,16
1953,9
1954,11
1955,18
1956,8
1957,7
1958,8
1959,9
1960,9
1961,16
1962,15
1963,13
1964,5
1965,12
1966,5
1967,13
1968,10
1969,15
1970,8
1971,10
1972,10
1973,10
1974,5
1975,11
1976,7
1977,5
1978,7
1979,9
1980,10
1981,6
1982,10
1983,15
1984,5
1985,9
1986,18
1987,9
1988,12
1989,9
1990,9
1991,12
1992,12
1993,25
1994,14
1995,21
1996,18
1997,27
1998,27
1999,19
2000,19
2001,32
2002,30
2003,28
2004,25
2005,24
2006,23
2007,28
2008,34
2009,34
2010,28
2011,21
2012,26
