year,Rosevelt
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,20
1901,13
1902,23
1903,26
1904,37
1905,47
1906,35
1907,32
1908,27
1909,29
1910,35
1911,35
1912,40
1913,44
1914,46
1915,52
1916,53
1917,46
1918,51
1919,67
1920,55
1921,53
1922,60
1923,46
1924,64
1925,61
1926,55
1927,72
1928,73
1929,67
1930,51
1931,60
1932,117
1933,121
1934,103
1935,78
1936,75
1937,80
1938,64
1939,68
1940,72
1941,47
1942,52
1943,52
1944,47
1945,48
1946,33
1947,43
1948,29
1949,39
1950,27
1951,36
1952,26
1953,21
1954,18
1955,15
1956,16
1957,22
1958,28
1959,16
1960,10
1961,9
1962,9
1963,15
1964,11
1965,14
1966,6
1967,7
1968,5
1969,10
1970,7
1971,10
1972,8
1973,0
1974,0
1975,0
1976,6
1977,7
1978,6
1979,0
1980,6
1981,8
1982,6
1983,0
1984,7
1985,11
1986,0
1987,6
1988,5
1989,0
1990,5
1991,5
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
