year,Rebbecca
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,6
1921,8
1922,0
1923,5
1924,10
1925,11
1926,10
1927,5
1928,9
1929,5
1930,6
1931,5
1932,0
1933,0
1934,0
1935,5
1936,0
1937,0
1938,0
1939,8
1940,0
1941,0
1942,12
1943,7
1944,0
1945,11
1946,13
1947,11
1948,17
1949,26
1950,28
1951,29
1952,34
1953,27
1954,36
1955,44
1956,43
1957,44
1958,41
1959,52
1960,39
1961,35
1962,35
1963,40
1964,32
1965,37
1966,41
1967,42
1968,44
1969,36
1970,49
1971,45
1972,60
1973,59
1974,53
1975,74
1976,44
1977,54
1978,46
1979,62
1980,68
1981,48
1982,46
1983,48
1984,52
1985,49
1986,42
1987,36
1988,30
1989,36
1990,33
1991,36
1992,43
1993,21
1994,33
1995,28
1996,24
1997,18
1998,15
1999,20
2000,18
2001,12
2002,13
2003,6
2004,9
2005,5
2006,7
2007,8
2008,6
2009,5
2010,0
2011,0
2012,0
