year,Raven (F),Raven (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000002
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000000,0.000002
1939,0.000000,0.000000
1940,0.000000,0.000000
1941,0.000002,0.000000
1942,0.000002,0.000002
1943,0.000002,0.000002
1944,0.000000,0.000003
1945,0.000002,0.000003
1946,0.000000,0.000002
1947,0.000004,0.000001
1948,0.000003,0.000002
1949,0.000002,0.000002
1950,0.000000,0.000000
1951,0.000001,0.000000
1952,0.000001,0.000002
1953,0.000003,0.000000
1954,0.000001,0.000002
1955,0.000001,0.000002
1956,0.000001,0.000002
1957,0.000002,0.000002
1958,0.000003,0.000001
1959,0.000002,0.000002
1960,0.000003,0.000002
1961,0.000002,0.000004
1962,0.000003,0.000002
1963,0.000004,0.000002
1964,0.000001,0.000002
1965,0.000004,0.000002
1966,0.000006,0.000002
1967,0.000004,0.000002
1968,0.000004,0.000001
1969,0.000007,0.000002
1970,0.000002,0.000004
1971,0.000008,0.000002
1972,0.000008,0.000002
1973,0.000004,0.000004
1974,0.000005,0.000004
1975,0.000006,0.000003
1976,0.000033,0.000003
1977,0.000094,0.000006
1978,0.000108,0.000008
1979,0.000104,0.000005
1980,0.000118,0.000006
1981,0.000110,0.000006
1982,0.000134,0.000004
1983,0.000123,0.000004
1984,0.000117,0.000004
1985,0.000113,0.000006
1986,0.000091,0.000005
1987,0.000097,0.000006
1988,0.000089,0.000005
1989,0.000124,0.000007
1990,0.000445,0.000016
1991,0.000520,0.000014
1992,0.000525,0.000023
1993,0.000606,0.000029
1994,0.000558,0.000028
1995,0.000480,0.000027
1996,0.000445,0.000031
1997,0.000491,0.000039
1998,0.000449,0.000046
1999,0.000413,0.000051
2000,0.000383,0.000046
2001,0.000362,0.000048
2002,0.000358,0.000043
2003,0.000376,0.000036
2004,0.000319,0.000027
2005,0.000235,0.000019
2006,0.000186,0.000017
2007,0.000158,0.000009
2008,0.000127,0.000011
2009,0.000125,0.000013
2010,0.000132,0.000011
2011,0.000134,0.000011
2012,0.000151,0.000012
2013,0.000159,0.000010
2014,0.000167,0.000010
2015,0.000177,0.000010
2016,0.000173,0.000011
2017,0.000198,0.000011
2018,0.000214,0.000012
2019,0.000214,0.000010
2020,0.000222,0.000011
