year,Ronnie (F),Ronnie (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000013,0.000000
1903,0.000016,0.000013
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000010,0.000010
1909,0.000010,0.000000
1910,0.000000,0.000000
1911,0.000008,0.000016
1912,0.000005,0.000008
1913,0.000009,0.000005
1914,0.000006,0.000009
1915,0.000011,0.000005
1916,0.000007,0.000005
1917,0.000010,0.000008
1918,0.000011,0.000005
1919,0.000009,0.000008
1920,0.000014,0.000010
1921,0.000010,0.000005
1922,0.000016,0.000010
1923,0.000008,0.000009
1924,0.000013,0.000010
1925,0.000016,0.000008
1926,0.000015,0.000012
1927,0.000007,0.000017
1928,0.000009,0.000028
1929,0.000010,0.000046
1930,0.000012,0.000063
1931,0.000014,0.000091
1932,0.000009,0.000204
1933,0.000016,0.000257
1934,0.000008,0.000365
1935,0.000010,0.000413
1936,0.000012,0.000509
1937,0.000021,0.000603
1938,0.000026,0.000742
1939,0.000038,0.000828
1940,0.000032,0.000892
1941,0.000037,0.001169
1942,0.000058,0.001231
1943,0.000063,0.001356
1944,0.000061,0.001390
1945,0.000077,0.001376
1946,0.000079,0.001792
1947,0.000076,0.001696
1948,0.000072,0.001709
1949,0.000063,0.001503
1950,0.000059,0.001318
1951,0.000051,0.001231
1952,0.000049,0.001220
1953,0.000046,0.001290
1954,0.000037,0.001251
1955,0.000039,0.001237
1956,0.000033,0.001334
1957,0.000032,0.001373
1958,0.000029,0.001416
1959,0.000029,0.001317
1960,0.000023,0.001174
1961,0.000026,0.001115
1962,0.000025,0.001019
1963,0.000025,0.000965
1964,0.000022,0.000904
1965,0.000022,0.000867
1966,0.000023,0.000837
1967,0.000032,0.000797
1968,0.000031,0.000769
1969,0.000022,0.000694
1970,0.000024,0.000697
1971,0.000024,0.000671
1972,0.000030,0.000637
1973,0.000026,0.000628
1974,0.000021,0.000588
1975,0.000029,0.000540
1976,0.000025,0.000526
1977,0.000021,0.000487
1978,0.000025,0.000465
1979,0.000020,0.000457
1980,0.000016,0.000410
1981,0.000016,0.000396
1982,0.000015,0.000363
1983,0.000015,0.000343
1984,0.000019,0.000316
1985,0.000016,0.000316
1986,0.000013,0.000299
1987,0.000012,0.000288
1988,0.000012,0.000274
1989,0.000014,0.000253
1990,0.000011,0.000260
1991,0.000011,0.000233
1992,0.000014,0.000224
1993,0.000016,0.000201
1994,0.000016,0.000179
1995,0.000020,0.000182
1996,0.000018,0.000165
1997,0.000011,0.000151
1998,0.000012,0.000142
1999,0.000014,0.000132
2000,0.000009,0.000129
2001,0.000015,0.000123
2002,0.000009,0.000107
2003,0.000009,0.000110
2004,0.000008,0.000115
2005,0.000005,0.000107
2006,0.000006,0.000112
2007,0.000006,0.000096
2008,0.000007,0.000102
2009,0.000005,0.000096
2010,0.000005,0.000096
2011,0.000010,0.000088
2012,0.000009,0.000090
2013,0.000008,0.000086
2014,0.000013,0.000085
2015,0.000009,0.000083
2016,0.000011,0.000071
2017,0.000012,0.000067
2018,0.000015,0.000070
2019,0.000017,0.000070
2020,0.000022,0.000056
