year,Rheta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,0
1910,0
1911,6
1912,15
1913,11
1914,11
1915,15
1916,11
1917,18
1918,22
1919,20
1920,26
1921,19
1922,20
1923,16
1924,26
1925,18
1926,13
1927,15
1928,16
1929,10
1930,15
1931,13
1932,20
1933,81
1934,151
1935,61
1936,37
1937,28
1938,30
1939,26
1940,9
1941,17
1942,10
1943,17
1944,20
1945,23
1946,20
1947,22
1948,21
1949,27
1950,19
1951,11
1952,24
1953,19
1954,18
1955,16
1956,14
1957,14
1958,18
1959,12
1960,15
1961,8
1962,5
1963,0
1964,11
1965,6
1966,7
1967,5
1968,6
1969,0
1970,0
1971,0
1972,0
1973,0
1974,5
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
