year,Ronette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,6
1942,0
1943,0
1944,5
1945,0
1946,7
1947,9
1948,0
1949,6
1950,8
1951,0
1952,6
1953,10
1954,11
1955,10
1956,19
1957,14
1958,20
1959,14
1960,15
1961,14
1962,15
1963,19
1964,40
1965,57
1966,57
1967,64
1968,36
1969,51
1970,55
1971,51
1972,35
1973,25
1974,28
1975,20
1976,19
1977,16
1978,20
1979,16
1980,14
1981,17
1982,14
1983,6
1984,9
1985,11
1986,10
1987,11
1988,7
1989,8
1990,12
1991,12
1992,6
1993,9
1994,7
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
