year,Rolland (F),Rolland (M)
1880,0.000000,0.000055
1881,0.000000,0.000026
1882,0.000000,0.000032
1883,0.000000,0.000078
1884,0.000000,0.000070
1885,0.000000,0.000033
1886,0.000000,0.000031
1887,0.000000,0.000036
1888,0.000000,0.000043
1889,0.000000,0.000059
1890,0.000000,0.000030
1891,0.000000,0.000038
1892,0.000000,0.000045
1893,0.000000,0.000037
1894,0.000000,0.000024
1895,0.000000,0.000026
1896,0.000000,0.000056
1897,0.000000,0.000043
1898,0.000000,0.000047
1899,0.000000,0.000029
1900,0.000000,0.000040
1901,0.000000,0.000043
1902,0.000000,0.000067
1903,0.000000,0.000050
1904,0.000000,0.000040
1905,0.000000,0.000042
1906,0.000000,0.000044
1907,0.000000,0.000032
1908,0.000000,0.000031
1909,0.000000,0.000047
1910,0.000000,0.000029
1911,0.000000,0.000048
1912,0.000000,0.000084
1913,0.000000,0.000062
1914,0.000000,0.000078
1915,0.000000,0.000079
1916,0.000000,0.000093
1917,0.000000,0.000089
1918,0.000000,0.000089
1919,0.000000,0.000083
1920,0.000000,0.000094
1921,0.000000,0.000088
1922,0.000000,0.000093
1923,0.000000,0.000096
1924,0.000000,0.000097
1925,0.000000,0.000100
1926,0.000000,0.000098
1927,0.000000,0.000100
1928,0.000000,0.000116
1929,0.000000,0.000113
1930,0.000002,0.000103
1931,0.000000,0.000098
1932,0.000000,0.000090
1933,0.000000,0.000100
1934,0.000000,0.000109
1935,0.000000,0.000072
1936,0.000000,0.000089
1937,0.000000,0.000094
1938,0.000000,0.000080
1939,0.000000,0.000071
1940,0.000000,0.000076
1941,0.000000,0.000060
1942,0.000000,0.000060
1943,0.000000,0.000046
1944,0.000000,0.000058
1945,0.000000,0.000058
1946,0.000000,0.000044
1947,0.000000,0.000037
1948,0.000000,0.000034
1949,0.000000,0.000028
1950,0.000000,0.000033
1951,0.000000,0.000028
1952,0.000000,0.000024
1953,0.000000,0.000024
1954,0.000000,0.000023
1955,0.000000,0.000021
1956,0.000000,0.000023
1957,0.000000,0.000021
1958,0.000000,0.000018
1959,0.000000,0.000018
1960,0.000000,0.000015
1961,0.000000,0.000021
1962,0.000000,0.000014
1963,0.000000,0.000014
1964,0.000000,0.000017
1965,0.000000,0.000015
1966,0.000000,0.000016
1967,0.000000,0.000013
1968,0.000000,0.000011
1969,0.000000,0.000011
1970,0.000000,0.000009
1971,0.000000,0.000012
1972,0.000000,0.000010
1973,0.000000,0.000012
1974,0.000000,0.000012
1975,0.000000,0.000010
1976,0.000000,0.000009
1977,0.000000,0.000009
1978,0.000000,0.000008
1979,0.000000,0.000009
1980,0.000000,0.000008
1981,0.000000,0.000008
1982,0.000000,0.000007
1983,0.000000,0.000008
1984,0.000000,0.000005
1985,0.000000,0.000007
1986,0.000000,0.000005
1987,0.000000,0.000006
1988,0.000000,0.000007
1989,0.000000,0.000005
1990,0.000000,0.000006
1991,0.000000,0.000008
1992,0.000000,0.000004
1993,0.000000,0.000005
1994,0.000000,0.000006
1995,0.000000,0.000004
1996,0.000000,0.000005
1997,0.000000,0.000003
1998,0.000000,0.000002
1999,0.000000,0.000004
2000,0.000000,0.000004
2001,0.000000,0.000002
2002,0.000000,0.000005
2003,0.000000,0.000002
2004,0.000000,0.000002
2005,0.000000,0.000002
2006,0.000000,0.000002
2007,0.000000,0.000004
2008,0.000000,0.000004
2009,0.000000,0.000003
2010,0.000000,0.000003
2011,0.000000,0.000005
2012,0.000000,0.000005
