year,Robertha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,6
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,0
1913,0
1914,6
1915,11
1916,10
1917,9
1918,9
1919,15
1920,16
1921,20
1922,11
1923,16
1924,14
1925,10
1926,16
1927,19
1928,17
1929,13
1930,18
1931,12
1932,9
1933,13
1934,7
1935,11
1936,11
1937,5
1938,8
1939,14
1940,8
1941,6
1942,11
1943,7
1944,0
1945,6
1946,10
1947,15
1948,12
1949,9
1950,15
1951,10
1952,9
1953,12
1954,12
1955,10
1956,10
1957,6
1958,9
1959,10
1960,0
1961,8
1962,0
1963,0
1964,0
1965,6
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,6
1975,0
1976,0
1977,5
1978,0
1979,0
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
