year,Xiomara
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,5
1955,0
1956,0
1957,0
1958,10
1959,11
1960,14
1961,12
1962,20
1963,15
1964,22
1965,11
1966,10
1967,16
1968,11
1969,22
1970,27
1971,27
1972,31
1973,21
1974,27
1975,35
1976,50
1977,65
1978,61
1979,62
1980,69
1981,73
1982,79
1983,81
1984,83
1985,98
1986,91
1987,95
1988,98
1989,120
1990,142
1991,147
1992,140
1993,154
1994,180
1995,173
1996,145
1997,157
1998,120
1999,165
2000,188
2001,160
2002,211
2003,186
2004,296
2005,344
2006,340
2007,341
2008,355
2009,298
2010,258
2011,234
2012,210
