year,Bertrand (F),Bertrand (M)
1880,0.000000,0.000055
1881,0.000000,0.000031
1882,0.000000,0.000023
1883,0.000000,0.000023
1884,0.000000,0.000037
1885,0.000000,0.000021
1886,0.000000,0.000020
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000024
1890,0.000000,0.000000
1891,0.000000,0.000021
1892,0.000000,0.000027
1893,0.000000,0.000015
1894,0.000000,0.000021
1895,0.000000,0.000000
1896,0.000000,0.000045
1897,0.000000,0.000029
1898,0.000000,0.000016
1899,0.000000,0.000021
1900,0.000000,0.000016
1901,0.000000,0.000020
1902,0.000000,0.000026
1903,0.000000,0.000024
1904,0.000000,0.000025
1905,0.000000,0.000019
1906,0.000000,0.000023
1907,0.000000,0.000013
1908,0.000000,0.000020
1909,0.000000,0.000022
1910,0.000000,0.000012
1911,0.000000,0.000028
1912,0.000000,0.000034
1913,0.000000,0.000033
1914,0.000000,0.000037
1915,0.000000,0.000028
1916,0.000000,0.000038
1917,0.000000,0.000030
1918,0.000000,0.000034
1919,0.000000,0.000034
1920,0.000000,0.000038
1921,0.000000,0.000038
1922,0.000000,0.000039
1923,0.000000,0.000030
1924,0.000000,0.000040
1925,0.000000,0.000040
1926,0.000000,0.000029
1927,0.000000,0.000034
1928,0.000000,0.000035
1929,0.000000,0.000037
1930,0.000000,0.000027
1931,0.000000,0.000031
1932,0.000000,0.000032
1933,0.000000,0.000031
1934,0.000000,0.000033
1935,0.000000,0.000031
1936,0.000000,0.000035
1937,0.000000,0.000026
1938,0.000000,0.000022
1939,0.000000,0.000017
1940,0.000000,0.000025
1941,0.000000,0.000018
1942,0.000000,0.000019
1943,0.000000,0.000017
1944,0.000000,0.000019
1945,0.000000,0.000018
1946,0.000000,0.000015
1947,0.000000,0.000011
1948,0.000000,0.000017
1949,0.000000,0.000011
1950,0.000000,0.000012
1951,0.000000,0.000012
1952,0.000000,0.000013
1953,0.000000,0.000010
1954,0.000000,0.000010
1955,0.000000,0.000009
1956,0.000000,0.000007
1957,0.000000,0.000011
1958,0.000000,0.000010
1959,0.000000,0.000009
1960,0.000000,0.000006
1961,0.000000,0.000008
1962,0.000000,0.000008
1963,0.000000,0.000008
1964,0.000000,0.000010
1965,0.000000,0.000009
1966,0.000000,0.000014
1967,0.000000,0.000010
1968,0.000000,0.000008
1969,0.000000,0.000010
1970,0.000000,0.000008
1971,0.000000,0.000010
1972,0.000000,0.000010
1973,0.000000,0.000010
1974,0.000000,0.000007
1975,0.000000,0.000010
1976,0.000000,0.000006
1977,0.000000,0.000007
1978,0.000000,0.000005
1979,0.000000,0.000006
1980,0.000000,0.000006
1981,0.000000,0.000005
1982,0.000000,0.000004
1983,0.000000,0.000005
1984,0.000000,0.000003
1985,0.000000,0.000004
1986,0.000000,0.000004
1987,0.000000,0.000003
1988,0.000000,0.000005
1989,0.000000,0.000004
1990,0.000000,0.000004
1991,0.000000,0.000003
1992,0.000000,0.000004
1993,0.000000,0.000002
1994,0.000000,0.000001
1995,0.000000,0.000003
1996,0.000000,0.000004
1997,0.000000,0.000002
1998,0.000000,0.000002
1999,0.000000,0.000002
2000,0.000000,0.000001
2001,0.000000,0.000002
2002,0.000000,0.000000
2003,0.000000,0.000002
2004,0.000000,0.000002
2005,0.000000,0.000002
2006,0.000000,0.000003
2007,0.000000,0.000002
2008,0.000000,0.000000
2009,0.000000,0.000002
2010,0.000000,0.000002
2011,0.000000,0.000002
2012,0.000000,0.000003
2013,0.000000,0.000002
2014,0.000000,0.000002
2015,0.000000,0.000001
2016,0.000000,0.000003
2017,0.000000,0.000002
2018,0.000000,0.000001
2019,0.000000,0.000003
2020,0.000000,0.000000
