year,Byrl
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,5
1910,0
1911,0
1912,8
1913,5
1914,5
1915,9
1916,18
1917,24
1918,25
1919,23
1920,30
1921,11
1922,19
1923,23
1924,16
1925,15
1926,22
1927,19
1928,14
1929,26
1930,22
1931,24
1932,10
1933,11
1934,15
1935,12
1936,0
1937,10
1938,20
1939,17
1940,10
1941,11
1942,10
1943,8
1944,8
1945,7
1946,9
1947,8
1948,8
1949,11
1950,0
1951,7
1952,0
1953,9
1954,0
1955,6
1956,0
1957,0
1958,9
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
