year,Bryson (F),Bryson (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000004
1915,0.000000,0.000004
1916,0.000000,0.000004
1917,0.000000,0.000003
1918,0.000000,0.000004
1919,0.000000,0.000000
1920,0.000000,0.000004
1921,0.000000,0.000004
1922,0.000000,0.000003
1923,0.000000,0.000006
1924,0.000000,0.000004
1925,0.000000,0.000003
1926,0.000000,0.000006
1927,0.000000,0.000005
1928,0.000000,0.000005
1929,0.000000,0.000002
1930,0.000000,0.000007
1931,0.000000,0.000004
1932,0.000000,0.000003
1933,0.000000,0.000005
1934,0.000000,0.000004
1935,0.000000,0.000000
1936,0.000000,0.000004
1937,0.000000,0.000005
1938,0.000000,0.000004
1939,0.000000,0.000004
1940,0.000000,0.000003
1941,0.000000,0.000005
1942,0.000000,0.000003
1943,0.000000,0.000006
1944,0.000000,0.000004
1945,0.000000,0.000003
1946,0.000000,0.000003
1947,0.000000,0.000004
1948,0.000000,0.000003
1949,0.000000,0.000005
1950,0.000000,0.000004
1951,0.000000,0.000003
1952,0.000000,0.000002
1953,0.000000,0.000002
1954,0.000000,0.000003
1955,0.000000,0.000004
1956,0.000000,0.000002
1957,0.000000,0.000003
1958,0.000000,0.000002
1959,0.000000,0.000002
1960,0.000000,0.000002
1961,0.000000,0.000002
1962,0.000000,0.000003
1963,0.000000,0.000004
1964,0.000000,0.000004
1965,0.000000,0.000002
1966,0.000000,0.000005
1967,0.000000,0.000003
1968,0.000000,0.000006
1969,0.000000,0.000005
1970,0.000000,0.000006
1971,0.000000,0.000007
1972,0.000000,0.000008
1973,0.000000,0.000012
1974,0.000000,0.000015
1975,0.000000,0.000018
1976,0.000000,0.000014
1977,0.000000,0.000017
1978,0.000000,0.000020
1979,0.000000,0.000032
1980,0.000000,0.000039
1981,0.000000,0.000039
1982,0.000000,0.000051
1983,0.000000,0.000052
1984,0.000001,0.000056
1985,0.000000,0.000058
1986,0.000000,0.000074
1987,0.000000,0.000071
1988,0.000000,0.000084
1989,0.000000,0.000085
1990,0.000000,0.000084
1991,0.000000,0.000098
1992,0.000000,0.000103
1993,0.000000,0.000118
1994,0.000001,0.000126
1995,0.000003,0.000148
1996,0.000002,0.000189
1997,0.000003,0.000204
1998,0.000003,0.000234
1999,0.000004,0.000289
2000,0.000003,0.000319
2001,0.000003,0.000362
2002,0.000003,0.000394
2003,0.000003,0.000436
2004,0.000004,0.000501
2005,0.000002,0.000515
2006,0.000002,0.000585
2007,0.000004,0.000581
2008,0.000001,0.000568
2009,0.000002,0.000683
2010,0.000004,0.000917
2011,0.000003,0.001078
2012,0.000002,0.001105
2013,0.000002,0.001046
2014,0.000003,0.000925
2015,0.000002,0.000842
2016,0.000002,0.001191
2017,0.000002,0.001306
2018,0.000003,0.001201
2019,0.000003,0.001047
2020,0.000002,0.000965
