year,Buddy (F),Buddy (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000015
1894,0.000000,0.000021
1895,0.000000,0.000000
1896,0.000000,0.000031
1897,0.000000,0.000000
1898,0.000000,0.000013
1899,0.000000,0.000015
1900,0.000000,0.000022
1901,0.000000,0.000023
1902,0.000000,0.000039
1903,0.000000,0.000016
1904,0.000000,0.000027
1905,0.000000,0.000019
1906,0.000000,0.000035
1907,0.000000,0.000039
1908,0.000000,0.000031
1909,0.000000,0.000029
1910,0.000000,0.000068
1911,0.000000,0.000025
1912,0.000000,0.000034
1913,0.000000,0.000045
1914,0.000000,0.000047
1915,0.000000,0.000035
1916,0.000000,0.000036
1917,0.000000,0.000036
1918,0.000000,0.000045
1919,0.000000,0.000045
1920,0.000000,0.000046
1921,0.000000,0.000048
1922,0.000000,0.000055
1923,0.000000,0.000056
1924,0.000000,0.000074
1925,0.000003,0.000074
1926,0.000000,0.000098
1927,0.000000,0.000112
1928,0.000003,0.000111
1929,0.000000,0.000162
1930,0.000000,0.000197
1931,0.000000,0.000220
1932,0.000000,0.000221
1933,0.000000,0.000260
1934,0.000000,0.000248
1935,0.000000,0.000289
1936,0.000002,0.000252
1937,0.000000,0.000258
1938,0.000003,0.000235
1939,0.000000,0.000227
1940,0.000002,0.000195
1941,0.000000,0.000187
1942,0.000002,0.000183
1943,0.000002,0.000152
1944,0.000000,0.000149
1945,0.000000,0.000122
1946,0.000000,0.000115
1947,0.000000,0.000105
1948,0.000000,0.000103
1949,0.000000,0.000098
1950,0.000000,0.000108
1951,0.000000,0.000100
1952,0.000000,0.000083
1953,0.000000,0.000086
1954,0.000000,0.000083
1955,0.000000,0.000089
1956,0.000000,0.000084
1957,0.000000,0.000083
1958,0.000000,0.000085
1959,0.000000,0.000077
1960,0.000000,0.000086
1961,0.000000,0.000091
1962,0.000000,0.000084
1963,0.000000,0.000076
1964,0.000000,0.000072
1965,0.000000,0.000071
1966,0.000000,0.000062
1967,0.000000,0.000063
1968,0.000000,0.000057
1969,0.000000,0.000061
1970,0.000000,0.000052
1971,0.000000,0.000063
1972,0.000000,0.000073
1973,0.000000,0.000068
1974,0.000000,0.000057
1975,0.000000,0.000059
1976,0.000000,0.000056
1977,0.000000,0.000058
1978,0.000000,0.000055
1979,0.000000,0.000051
1980,0.000002,0.000040
1981,0.000000,0.000045
1982,0.000000,0.000049
1983,0.000000,0.000040
1984,0.000000,0.000037
1985,0.000000,0.000033
1986,0.000000,0.000034
1987,0.000000,0.000032
1988,0.000000,0.000028
1989,0.000000,0.000025
1990,0.000000,0.000025
1991,0.000000,0.000021
1992,0.000000,0.000017
1993,0.000000,0.000021
1994,0.000000,0.000013
1995,0.000000,0.000011
1996,0.000000,0.000012
1997,0.000000,0.000015
1998,0.000000,0.000012
1999,0.000000,0.000008
2000,0.000000,0.000011
2001,0.000000,0.000010
2002,0.000000,0.000009
2003,0.000000,0.000011
2004,0.000000,0.000010
2005,0.000000,0.000011
2006,0.000000,0.000006
2007,0.000000,0.000008
2008,0.000000,0.000007
2009,0.000000,0.000011
2010,0.000000,0.000006
2011,0.000000,0.000007
2012,0.000000,0.000010
2013,0.000000,0.000006
