year,Brooke (F),Brooke (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000004
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000003
1919,0.000000,0.000005
1920,0.000000,0.000004
1921,0.000000,0.000002
1922,0.000000,0.000004
1923,0.000000,0.000000
1924,0.000000,0.000002
1925,0.000000,0.000003
1926,0.000000,0.000003
1927,0.000000,0.000003
1928,0.000000,0.000003
1929,0.000000,0.000003
1930,0.000000,0.000004
1931,0.000000,0.000003
1932,0.000000,0.000000
1933,0.000000,0.000004
1934,0.000003,0.000005
1935,0.000002,0.000006
1936,0.000000,0.000003
1937,0.000000,0.000000
1938,0.000004,0.000003
1939,0.000004,0.000005
1940,0.000010,0.000004
1941,0.000014,0.000008
1942,0.000017,0.000008
1943,0.000011,0.000009
1944,0.000015,0.000004
1945,0.000015,0.000007
1946,0.000013,0.000003
1947,0.000011,0.000005
1948,0.000012,0.000008
1949,0.000019,0.000005
1950,0.000015,0.000004
1951,0.000014,0.000004
1952,0.000013,0.000006
1953,0.000035,0.000005
1954,0.000025,0.000006
1955,0.000017,0.000005
1956,0.000021,0.000005
1957,0.000016,0.000006
1958,0.000016,0.000008
1959,0.000018,0.000006
1960,0.000025,0.000009
1961,0.000029,0.000012
1962,0.000033,0.000010
1963,0.000038,0.000008
1964,0.000033,0.000011
1965,0.000040,0.000008
1966,0.000082,0.000010
1967,0.000079,0.000011
1968,0.000097,0.000011
1969,0.000116,0.000012
1970,0.000210,0.000017
1971,0.000212,0.000013
1972,0.000234,0.000015
1973,0.000256,0.000019
1974,0.000317,0.000013
1975,0.000391,0.000016
1976,0.000483,0.000013
1977,0.000589,0.000013
1978,0.000798,0.000014
1979,0.001056,0.000015
1980,0.001438,0.000015
1981,0.001541,0.000012
1982,0.000897,0.000009
1983,0.000828,0.000008
1984,0.000787,0.000007
1985,0.000765,0.000004
1986,0.000758,0.000006
1987,0.000821,0.000005
1988,0.000924,0.000009
1989,0.001079,0.000006
1990,0.001263,0.000007
1991,0.001426,0.000006
1992,0.001503,0.000006
1993,0.001634,0.000006
1994,0.001608,0.000006
1995,0.001741,0.000004
1996,0.001845,0.000007
1997,0.001841,0.000003
1998,0.001726,0.000004
1999,0.001644,0.000004
2000,0.001493,0.000003
2001,0.001393,0.000002
2002,0.001429,0.000002
2003,0.001570,0.000002
2004,0.001495,0.000006
2005,0.001449,0.000003
2006,0.001454,0.000002
2007,0.001380,0.000005
2008,0.001319,0.000002
2009,0.001257,0.000000
2010,0.001004,0.000002
2011,0.000924,0.000000
2012,0.000815,0.000000
2013,0.000758,0.000000
