year,Blair (F),Blair (M)
1880,0.000000,0.000000
1881,0.000000,0.000026
1882,0.000000,0.000000
1883,0.000000,0.000023
1884,0.000000,0.000021
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000020
1888,0.000000,0.000037
1889,0.000000,0.000024
1890,0.000000,0.000000
1891,0.000000,0.000035
1892,0.000000,0.000024
1893,0.000000,0.000028
1894,0.000000,0.000018
1895,0.000000,0.000020
1896,0.000000,0.000031
1897,0.000000,0.000014
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000022
1901,0.000000,0.000017
1902,0.000000,0.000026
1903,0.000000,0.000000
1904,0.000000,0.000017
1905,0.000000,0.000017
1906,0.000000,0.000030
1907,0.000000,0.000015
1908,0.000000,0.000033
1909,0.000000,0.000010
1910,0.000000,0.000017
1911,0.000000,0.000023
1912,0.000000,0.000026
1913,0.000000,0.000027
1914,0.000004,0.000030
1915,0.000003,0.000038
1916,0.000000,0.000035
1917,0.000000,0.000036
1918,0.000000,0.000036
1919,0.000003,0.000037
1920,0.000000,0.000036
1921,0.000000,0.000035
1922,0.000000,0.000033
1923,0.000000,0.000031
1924,0.000003,0.000032
1925,0.000000,0.000039
1926,0.000003,0.000037
1927,0.000000,0.000031
1928,0.000000,0.000032
1929,0.000000,0.000034
1930,0.000000,0.000035
1931,0.000000,0.000034
1932,0.000000,0.000027
1933,0.000003,0.000039
1934,0.000000,0.000032
1935,0.000002,0.000030
1936,0.000000,0.000024
1937,0.000004,0.000022
1938,0.000000,0.000031
1939,0.000000,0.000023
1940,0.000003,0.000021
1941,0.000000,0.000022
1942,0.000003,0.000032
1943,0.000003,0.000041
1944,0.000002,0.000026
1945,0.000003,0.000032
1946,0.000003,0.000025
1947,0.000004,0.000027
1948,0.000003,0.000033
1949,0.000003,0.000027
1950,0.000007,0.000041
1951,0.000005,0.000053
1952,0.000007,0.000058
1953,0.000008,0.000070
1954,0.000006,0.000069
1955,0.000007,0.000057
1956,0.000007,0.000056
1957,0.000005,0.000056
1958,0.000006,0.000053
1959,0.000007,0.000056
1960,0.000008,0.000060
1961,0.000009,0.000057
1962,0.000010,0.000076
1963,0.000012,0.000083
1964,0.000007,0.000059
1965,0.000012,0.000055
1966,0.000012,0.000062
1967,0.000012,0.000059
1968,0.000008,0.000063
1969,0.000007,0.000052
1970,0.000008,0.000050
1971,0.000009,0.000044
1972,0.000009,0.000042
1973,0.000010,0.000040
1974,0.000011,0.000047
1975,0.000011,0.000050
1976,0.000014,0.000054
1977,0.000013,0.000061
1978,0.000019,0.000066
1979,0.000026,0.000072
1980,0.000050,0.000069
1981,0.000108,0.000081
1982,0.000138,0.000065
1983,0.000119,0.000068
1984,0.000138,0.000062
1985,0.000144,0.000051
1986,0.000139,0.000054
1987,0.000123,0.000043
1988,0.000148,0.000055
1989,0.000127,0.000064
1990,0.000127,0.000077
1991,0.000112,0.000069
1992,0.000119,0.000066
1993,0.000095,0.000049
1994,0.000089,0.000043
1995,0.000092,0.000037
1996,0.000092,0.000032
1997,0.000084,0.000032
1998,0.000070,0.000035
1999,0.000065,0.000025
2000,0.000058,0.000029
2001,0.000041,0.000023
2002,0.000044,0.000019
2003,0.000039,0.000018
2004,0.000040,0.000022
2005,0.000043,0.000011
2006,0.000040,0.000024
2007,0.000047,0.000015
2008,0.000049,0.000018
2009,0.000060,0.000013
2010,0.000061,0.000019
2011,0.000072,0.000021
2012,0.000083,0.000018
2013,0.000105,0.000016
2014,0.000119,0.000020
2015,0.000131,0.000019
2016,0.000162,0.000023
2017,0.000172,0.000021
2018,0.000208,0.000016
2019,0.000222,0.000019
2020,0.000279,0.000015
