year,Briant
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,6
1948,0
1949,0
1950,6
1951,0
1952,0
1953,0
1954,0
1955,9
1956,0
1957,17
1958,13
1959,9
1960,12
1961,17
1962,16
1963,14
1964,9
1965,15
1966,17
1967,13
1968,13
1969,14
1970,19
1971,13
1972,15
1973,13
1974,8
1975,15
1976,12
1977,9
1978,17
1979,11
1980,10
1981,8
1982,11
1983,13
1984,6
1985,11
1986,9
1987,13
1988,27
1989,19
1990,28
1991,16
1992,24
1993,17
1994,17
1995,15
1996,17
1997,23
1998,21
1999,18
2000,20
2001,20
2002,36
2003,28
2004,27
2005,18
2006,17
2007,20
2008,26
2009,16
2010,14
2011,13
2012,5
