year,Barron
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,7
1916,13
1917,12
1918,8
1919,6
1920,11
1921,13
1922,5
1923,10
1924,13
1925,7
1926,13
1927,0
1928,14
1929,6
1930,14
1931,7
1932,16
1933,16
1934,12
1935,10
1936,9
1937,11
1938,8
1939,11
1940,15
1941,20
1942,20
1943,19
1944,19
1945,14
1946,29
1947,35
1948,33
1949,33
1950,30
1951,33
1952,34
1953,38
1954,62
1955,45
1956,60
1957,40
1958,48
1959,72
1960,66
1961,56
1962,77
1963,79
1964,84
1965,88
1966,97
1967,70
1968,64
1969,79
1970,83
1971,76
1972,60
1973,55
1974,58
1975,42
1976,42
1977,50
1978,52
1979,46
1980,54
1981,48
1982,46
1983,38
1984,39
1985,39
1986,57
1987,45
1988,50
1989,43
1990,55
1991,49
1992,63
1993,45
1994,42
1995,33
1996,48
1997,45
1998,42
1999,37
2000,41
2001,38
2002,31
2003,35
2004,22
2005,39
2006,68
2007,79
2008,76
2009,61
2010,89
2011,63
2012,62
