year,Barbie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,5
1937,0
1938,7
1939,9
1940,6
1941,7
1942,9
1943,10
1944,8
1945,17
1946,16
1947,19
1948,20
1949,17
1950,18
1951,23
1952,23
1953,21
1954,25
1955,25
1956,28
1957,45
1958,62
1959,68
1960,82
1961,132
1962,151
1963,171
1964,190
1965,121
1966,118
1967,163
1968,121
1969,97
1970,118
1971,105
1972,81
1973,72
1974,76
1975,83
1976,89
1977,94
1978,76
1979,74
1980,73
1981,79
1982,64
1983,54
1984,50
1985,42
1986,52
1987,37
1988,36
1989,28
1990,43
1991,31
1992,28
1993,21
1994,26
1995,16
1996,16
1997,24
1998,21
1999,15
2000,22
2001,20
2002,25
2003,18
2004,25
2005,19
2006,25
2007,29
2008,30
2009,29
2010,35
2011,28
2012,16
