year,Bama
1880,6
1881,5
1882,6
1883,8
1884,9
1885,6
1886,0
1887,5
1888,9
1889,7
1890,8
1891,6
1892,7
1893,7
1894,14
1895,6
1896,0
1897,10
1898,6
1899,10
1900,6
1901,8
1902,14
1903,10
1904,9
1905,11
1906,5
1907,6
1908,5
1909,9
1910,11
1911,7
1912,11
1913,10
1914,5
1915,12
1916,11
1917,7
1918,13
1919,13
1920,5
1921,9
1922,11
1923,11
1924,10
1925,9
1926,10
1927,7
1928,7
1929,8
1930,8
1931,11
1932,11
1933,0
1934,0
1935,5
1936,0
1937,0
1938,8
1939,0
1940,0
1941,7
1942,5
1943,0
1944,0
1945,0
1946,5
1947,0
1948,6
1949,5
1950,0
1951,7
1952,0
1953,0
1954,0
1955,5
1956,0
1957,0
1958,0
1959,5
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
