year,Byron (F),Byron (M)
1880,0.000000,0.000258
1881,0.000000,0.000208
1882,0.000000,0.000298
1883,0.000000,0.000230
1884,0.000000,0.000234
1885,0.000000,0.000191
1886,0.000000,0.000204
1887,0.000000,0.000190
1888,0.000000,0.000174
1889,0.000000,0.000128
1890,0.000000,0.000173
1891,0.000000,0.000185
1892,0.000000,0.000206
1893,0.000000,0.000145
1894,0.000000,0.000174
1895,0.000000,0.000160
1896,0.000000,0.000165
1897,0.000000,0.000144
1898,0.000000,0.000144
1899,0.000000,0.000139
1900,0.000000,0.000135
1901,0.000000,0.000147
1902,0.000000,0.000129
1903,0.000000,0.000155
1904,0.000000,0.000151
1905,0.000000,0.000139
1906,0.000000,0.000152
1907,0.000000,0.000153
1908,0.000000,0.000143
1909,0.000000,0.000135
1910,0.000000,0.000151
1911,0.000000,0.000149
1912,0.000000,0.000230
1913,0.000000,0.000266
1914,0.000000,0.000279
1915,0.000000,0.000250
1916,0.000000,0.000243
1917,0.000000,0.000243
1918,0.000003,0.000233
1919,0.000000,0.000231
1920,0.000000,0.000252
1921,0.000003,0.000239
1922,0.000000,0.000262
1923,0.000000,0.000233
1924,0.000000,0.000249
1925,0.000000,0.000222
1926,0.000000,0.000232
1927,0.000000,0.000229
1928,0.000003,0.000241
1929,0.000000,0.000238
1930,0.000003,0.000213
1931,0.000003,0.000238
1932,0.000000,0.000223
1933,0.000000,0.000221
1934,0.000000,0.000205
1935,0.000000,0.000219
1936,0.000002,0.000221
1937,0.000000,0.000245
1938,0.000000,0.000233
1939,0.000000,0.000251
1940,0.000000,0.000238
1941,0.000000,0.000221
1942,0.000000,0.000235
1943,0.000000,0.000208
1944,0.000002,0.000196
1945,0.000000,0.000212
1946,0.000000,0.000246
1947,0.000001,0.000222
1948,0.000000,0.000231
1949,0.000000,0.000214
1950,0.000000,0.000237
1951,0.000000,0.000228
1952,0.000000,0.000237
1953,0.000000,0.000240
1954,0.000000,0.000263
1955,0.000000,0.000263
1956,0.000000,0.000303
1957,0.000000,0.000300
1958,0.000002,0.000291
1959,0.000000,0.000294
1960,0.000000,0.000287
1961,0.000000,0.000296
1962,0.000002,0.000314
1963,0.000002,0.000314
1964,0.000001,0.000331
1965,0.000002,0.000337
1966,0.000003,0.000339
1967,0.000001,0.000348
1968,0.000004,0.000334
1969,0.000003,0.000347
1970,0.000003,0.000342
1971,0.000003,0.000316
1972,0.000002,0.000301
1973,0.000003,0.000304
1974,0.000003,0.000314
1975,0.000002,0.000302
1976,0.000003,0.000299
1977,0.000002,0.000267
1978,0.000003,0.000251
1979,0.000004,0.000257
1980,0.000001,0.000298
1981,0.000002,0.000287
1982,0.000002,0.000246
1983,0.000005,0.000298
1984,0.000002,0.000256
1985,0.000002,0.000251
1986,0.000002,0.000250
1987,0.000002,0.000258
1988,0.000002,0.000286
1989,0.000002,0.000279
1990,0.000001,0.000257
1991,0.000000,0.000233
1992,0.000001,0.000219
1993,0.000000,0.000196
1994,0.000000,0.000174
1995,0.000000,0.000163
1996,0.000000,0.000155
1997,0.000000,0.000168
1998,0.000000,0.000149
1999,0.000000,0.000152
2000,0.000000,0.000144
2001,0.000000,0.000131
2002,0.000000,0.000127
2003,0.000000,0.000132
2004,0.000000,0.000126
2005,0.000000,0.000131
2006,0.000000,0.000125
2007,0.000000,0.000124
2008,0.000000,0.000157
2009,0.000000,0.000194
2010,0.000000,0.000153
2011,0.000000,0.000140
2012,0.000000,0.000132
2013,0.000000,0.000142
