year,Bernadean
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,6
1915,11
1916,9
1917,16
1918,14
1919,14
1920,16
1921,18
1922,20
1923,17
1924,19
1925,8
1926,17
1927,16
1928,22
1929,16
1930,21
1931,13
1932,17
1933,12
1934,17
1935,10
1936,15
1937,9
1938,7
1939,7
1940,8
1941,0
1942,6
1943,6
1944,9
1945,8
1946,7
1947,11
1948,9
1949,9
1950,0
1951,0
1952,6
1953,0
1954,5
1955,0
1956,5
1957,10
1958,7
1959,7
1960,5
1961,8
1962,10
1963,7
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,5
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
