year,Brittany (F),Brittany (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000000
1940,0.000000,0.000000
1941,0.000000,0.000000
1942,0.000000,0.000000
1943,0.000000,0.000000
1944,0.000000,0.000000
1945,0.000000,0.000000
1946,0.000000,0.000000
1947,0.000000,0.000000
1948,0.000000,0.000000
1949,0.000000,0.000000
1950,0.000000,0.000000
1951,0.000000,0.000000
1952,0.000000,0.000000
1953,0.000000,0.000000
1954,0.000000,0.000000
1955,0.000000,0.000000
1956,0.000000,0.000000
1957,0.000000,0.000000
1958,0.000000,0.000000
1959,0.000000,0.000000
1960,0.000000,0.000000
1961,0.000000,0.000000
1962,0.000000,0.000000
1963,0.000002,0.000000
1964,0.000001,0.000000
1965,0.000003,0.000000
1966,0.000005,0.000000
1967,0.000005,0.000000
1968,0.000010,0.000000
1969,0.000018,0.000000
1970,0.000021,0.000000
1971,0.000043,0.000000
1972,0.000064,0.000000
1973,0.000072,0.000000
1974,0.000081,0.000004
1975,0.000110,0.000000
1976,0.000116,0.000003
1977,0.000154,0.000002
1978,0.000198,0.000003
1979,0.000237,0.000003
1980,0.000408,0.000002
1981,0.000496,0.000003
1982,0.000884,0.000005
1983,0.001264,0.000008
1984,0.002198,0.000013
1985,0.004327,0.000017
1986,0.005714,0.000021
1987,0.006167,0.000024
1988,0.007263,0.000027
1989,0.009832,0.000056
1990,0.009249,0.000028
1991,0.007471,0.000012
1992,0.006504,0.000011
1993,0.005766,0.000009
1994,0.005086,0.000010
1995,0.004501,0.000010
1996,0.003785,0.000005
1997,0.003181,0.000004
1998,0.002678,0.000004
1999,0.002151,0.000001
2000,0.001372,0.000000
2001,0.000783,0.000003
2002,0.000518,0.000000
2003,0.000415,0.000001
2004,0.000355,0.000003
2005,0.000310,0.000000
2006,0.000259,0.000000
2007,0.000229,0.000000
2008,0.000197,0.000000
2009,0.000176,0.000000
2010,0.000197,0.000000
2011,0.000205,0.000000
2012,0.000210,0.000000
