year,Barton (F),Barton (M)
1880,0.000000,0.000025
1881,0.000000,0.000036
1882,0.000000,0.000068
1883,0.000000,0.000037
1884,0.000000,0.000033
1885,0.000000,0.000033
1886,0.000000,0.000039
1887,0.000000,0.000032
1888,0.000000,0.000060
1889,0.000000,0.000028
1890,0.000000,0.000027
1891,0.000000,0.000028
1892,0.000000,0.000045
1893,0.000000,0.000025
1894,0.000000,0.000018
1895,0.000000,0.000000
1896,0.000000,0.000020
1897,0.000000,0.000029
1898,0.000000,0.000013
1899,0.000000,0.000000
1900,0.000000,0.000022
1901,0.000000,0.000000
1902,0.000000,0.000018
1903,0.000000,0.000016
1904,0.000000,0.000022
1905,0.000000,0.000019
1906,0.000000,0.000033
1907,0.000000,0.000013
1908,0.000000,0.000020
1909,0.000000,0.000000
1910,0.000000,0.000012
1911,0.000000,0.000020
1912,0.000000,0.000017
1913,0.000000,0.000029
1914,0.000000,0.000030
1915,0.000000,0.000025
1916,0.000000,0.000025
1917,0.000000,0.000030
1918,0.000000,0.000029
1919,0.000000,0.000020
1920,0.000000,0.000028
1921,0.000000,0.000032
1922,0.000000,0.000031
1923,0.000000,0.000030
1924,0.000000,0.000032
1925,0.000000,0.000032
1926,0.000000,0.000026
1927,0.000000,0.000028
1928,0.000000,0.000033
1929,0.000000,0.000029
1930,0.000000,0.000029
1931,0.000000,0.000034
1932,0.000000,0.000032
1933,0.000000,0.000038
1934,0.000000,0.000039
1935,0.000000,0.000033
1936,0.000000,0.000047
1937,0.000000,0.000052
1938,0.000000,0.000044
1939,0.000000,0.000054
1940,0.000000,0.000050
1941,0.000000,0.000054
1942,0.000000,0.000049
1943,0.000000,0.000051
1944,0.000000,0.000043
1945,0.000000,0.000041
1946,0.000000,0.000039
1947,0.000000,0.000047
1948,0.000000,0.000045
1949,0.000000,0.000048
1950,0.000000,0.000051
1951,0.000000,0.000043
1952,0.000000,0.000039
1953,0.000000,0.000040
1954,0.000000,0.000040
1955,0.000000,0.000047
1956,0.000000,0.000043
1957,0.000000,0.000035
1958,0.000000,0.000056
1959,0.000000,0.000058
1960,0.000000,0.000059
1961,0.000000,0.000050
1962,0.000000,0.000053
1963,0.000000,0.000055
1964,0.000000,0.000049
1965,0.000000,0.000048
1966,0.000000,0.000049
1967,0.000000,0.000041
1968,0.000000,0.000049
1969,0.000000,0.000045
1970,0.000000,0.000041
1971,0.000000,0.000037
1972,0.000000,0.000039
1973,0.000000,0.000035
1974,0.000000,0.000033
1975,0.000000,0.000029
1976,0.000000,0.000029
1977,0.000000,0.000028
1978,0.000000,0.000023
1979,0.000000,0.000023
1980,0.000000,0.000026
1981,0.000000,0.000023
1982,0.000000,0.000020
1983,0.000000,0.000019
1984,0.000000,0.000020
1985,0.000000,0.000021
1986,0.000000,0.000020
1987,0.000000,0.000015
1988,0.000000,0.000017
1989,0.000000,0.000015
1990,0.000000,0.000012
1991,0.000000,0.000008
1992,0.000000,0.000010
1993,0.000000,0.000006
1994,0.000000,0.000006
1995,0.000000,0.000004
1996,0.000000,0.000005
1997,0.000000,0.000002
1998,0.000000,0.000004
1999,0.000000,0.000005
2000,0.000000,0.000004
2001,0.000000,0.000003
2002,0.000000,0.000004
2003,0.000000,0.000004
2004,0.000000,0.000002
2005,0.000000,0.000002
2006,0.000000,0.000003
2007,0.000000,0.000002
2008,0.000000,0.000002
2009,0.000000,0.000003
2010,0.000000,0.000001
2011,0.000000,0.000002
2012,0.000000,0.000002
2013,0.000000,0.000003
2014,0.000000,0.000001
2015,0.000000,0.000001
2016,0.000000,0.000005
2017,0.000000,0.000003
2018,0.000000,0.000004
2019,0.000000,0.000003
2020,0.000000,0.000002
