year,Burley
1880,7
1881,7
1882,9
1883,8
1884,12
1885,8
1886,8
1887,7
1888,7
1889,9
1890,8
1891,8
1892,12
1893,10
1894,0
1895,9
1896,0
1897,5
1898,7
1899,9
1900,19
1901,12
1902,0
1903,7
1904,10
1905,0
1906,10
1907,9
1908,13
1909,15
1910,8
1911,11
1912,34
1913,29
1914,34
1915,50
1916,39
1917,58
1918,50
1919,46
1920,34
1921,64
1922,58
1923,49
1924,38
1925,52
1926,55
1927,43
1928,34
1929,40
1930,35
1931,40
1932,36
1933,44
1934,38
1935,35
1936,40
1937,33
1938,29
1939,46
1940,46
1941,21
1942,33
1943,41
1944,26
1945,36
1946,29
1947,29
1948,34
1949,31
1950,25
1951,28
1952,28
1953,25
1954,16
1955,20
1956,31
1957,27
1958,18
1959,15
1960,25
1961,24
1962,9
1963,16
1964,14
1965,14
1966,23
1967,10
1968,19
1969,13
1970,10
1971,13
1972,15
1973,9
1974,9
1975,8
1976,7
1977,9
1978,8
1979,9
1980,9
1981,11
1982,6
1983,9
1984,6
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,5
1999,5
2000,5
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
