year,Brendan (F),Brendan (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000009
1913,0.000000,0.000007
1914,0.000000,0.000009
1915,0.000000,0.000004
1916,0.000000,0.000005
1917,0.000000,0.000006
1918,0.000000,0.000005
1919,0.000000,0.000008
1920,0.000000,0.000005
1921,0.000000,0.000004
1922,0.000000,0.000007
1923,0.000000,0.000009
1924,0.000000,0.000007
1925,0.000000,0.000009
1926,0.000000,0.000008
1927,0.000000,0.000008
1928,0.000000,0.000008
1929,0.000000,0.000008
1930,0.000000,0.000009
1931,0.000000,0.000005
1932,0.000000,0.000012
1933,0.000000,0.000012
1934,0.000000,0.000016
1935,0.000000,0.000016
1936,0.000000,0.000019
1937,0.000000,0.000017
1938,0.000000,0.000015
1939,0.000000,0.000015
1940,0.000000,0.000014
1941,0.000000,0.000018
1942,0.000000,0.000014
1943,0.000000,0.000019
1944,0.000000,0.000015
1945,0.000000,0.000018
1946,0.000000,0.000015
1947,0.000000,0.000011
1948,0.000000,0.000015
1949,0.000000,0.000015
1950,0.000000,0.000017
1951,0.000000,0.000015
1952,0.000000,0.000017
1953,0.000000,0.000020
1954,0.000000,0.000017
1955,0.000000,0.000024
1956,0.000000,0.000028
1957,0.000000,0.000034
1958,0.000000,0.000030
1959,0.000000,0.000043
1960,0.000000,0.000052
1961,0.000000,0.000058
1962,0.000000,0.000060
1963,0.000000,0.000062
1964,0.000000,0.000074
1965,0.000000,0.000085
1966,0.000000,0.000141
1967,0.000000,0.000131
1968,0.000001,0.000148
1969,0.000000,0.000136
1970,0.000000,0.000157
1971,0.000000,0.000158
1972,0.000000,0.000160
1973,0.000000,0.000183
1974,0.000004,0.000208
1975,0.000002,0.000217
1976,0.000000,0.000276
1977,0.000003,0.000242
1978,0.000002,0.000283
1979,0.000002,0.000298
1980,0.000003,0.000320
1981,0.000000,0.000335
1982,0.000002,0.000341
1983,0.000002,0.000368
1984,0.000004,0.000381
1985,0.000003,0.000386
1986,0.000005,0.000393
1987,0.000005,0.000501
1988,0.000004,0.000485
1989,0.000003,0.000558
1990,0.000002,0.000506
1991,0.000000,0.000562
1992,0.000003,0.000598
1993,0.000005,0.000611
1994,0.000003,0.000734
1995,0.000003,0.000735
1996,0.000004,0.000771
1997,0.000003,0.000999
1998,0.000003,0.001055
1999,0.000003,0.001082
2000,0.000003,0.000968
2001,0.000001,0.000894
2002,0.000003,0.000841
2003,0.000001,0.000755
2004,0.000004,0.000712
2005,0.000002,0.000615
2006,0.000000,0.000549
2007,0.000000,0.000482
2008,0.000002,0.000481
2009,0.000000,0.000462
2010,0.000000,0.000414
2011,0.000000,0.000360
2012,0.000000,0.000315
2013,0.000000,0.000277
