year,Birda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,6
1897,7
1898,0
1899,0
1900,7
1901,6
1902,7
1903,7
1904,0
1905,0
1906,5
1907,7
1908,5
1909,0
1910,5
1911,5
1912,0
1913,7
1914,12
1915,9
1916,10
1917,11
1918,19
1919,10
1920,17
1921,10
1922,15
1923,15
1924,16
1925,11
1926,7
1927,12
1928,12
1929,15
1930,7
1931,9
1932,6
1933,9
1934,6
1935,15
1936,5
1937,11
1938,9
1939,7
1940,12
1941,7
1942,12
1943,11
1944,13
1945,5
1946,9
1947,7
1948,0
1949,5
1950,9
1951,11
1952,5
1953,11
1954,7
1955,0
1956,0
1957,8
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
