year,Benjaman
1880,12
1881,10
1882,12
1883,11
1884,7
1885,15
1886,0
1887,13
1888,23
1889,12
1890,11
1891,5
1892,12
1893,6
1894,10
1895,7
1896,0
1897,7
1898,12
1899,7
1900,7
1901,0
1902,6
1903,5
1904,8
1905,6
1906,0
1907,0
1908,9
1909,6
1910,5
1911,11
1912,14
1913,16
1914,24
1915,21
1916,17
1917,33
1918,35
1919,33
1920,37
1921,25
1922,35
1923,32
1924,37
1925,35
1926,41
1927,24
1928,19
1929,32
1930,27
1931,17
1932,20
1933,14
1934,12
1935,15
1936,11
1937,13
1938,23
1939,9
1940,10
1941,11
1942,7
1943,15
1944,10
1945,10
1946,14
1947,15
1948,10
1949,12
1950,14
1951,17
1952,18
1953,22
1954,16
1955,18
1956,18
1957,14
1958,10
1959,9
1960,14
1961,11
1962,12
1963,6
1964,9
1965,8
1966,8
1967,8
1968,0
1969,10
1970,11
1971,13
1972,14
1973,9
1974,18
1975,38
1976,29
1977,44
1978,26
1979,18
1980,30
1981,22
1982,28
1983,30
1984,23
1985,15
1986,23
1987,32
1988,23
1989,24
1990,21
1991,20
1992,16
1993,16
1994,9
1995,17
1996,16
1997,13
1998,13
1999,16
2000,12
2001,15
2002,11
2003,9
2004,8
2005,11
2006,6
2007,8
2008,7
2009,5
2010,6
2011,0
2012,6
