year,Bebe
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,8
1905,6
1906,0
1907,9
1908,13
1909,10
1910,12
1911,11
1912,6
1913,18
1914,8
1915,17
1916,14
1917,21
1918,14
1919,13
1920,40
1921,27
1922,46
1923,58
1924,54
1925,47
1926,46
1927,40
1928,42
1929,49
1930,50
1931,47
1932,61
1933,35
1934,27
1935,19
1936,24
1937,17
1938,19
1939,20
1940,18
1941,19
1942,14
1943,20
1944,10
1945,16
1946,24
1947,19
1948,17
1949,11
1950,18
1951,16
1952,19
1953,20
1954,22
1955,24
1956,26
1957,29
1958,22
1959,15
1960,17
1961,11
1962,8
1963,6
1964,0
1965,6
1966,7
1967,11
1968,0
1969,0
1970,0
1971,0
1972,7
1973,0
1974,0
1975,0
1976,6
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,5
2000,8
2001,5
2002,0
2003,14
2004,6
2005,12
2006,6
2007,11
2008,9
2009,6
2010,7
2011,0
2012,9
