year,Berna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,8
1908,6
1909,0
1910,0
1911,0
1912,8
1913,9
1914,14
1915,13
1916,25
1917,26
1918,13
1919,25
1920,27
1921,36
1922,22
1923,22
1924,22
1925,29
1926,27
1927,44
1928,31
1929,48
1930,47
1931,38
1932,29
1933,26
1934,27
1935,28
1936,28
1937,26
1938,29
1939,21
1940,26
1941,27
1942,31
1943,28
1944,30
1945,31
1946,27
1947,31
1948,31
1949,31
1950,32
1951,27
1952,30
1953,25
1954,23
1955,18
1956,19
1957,19
1958,30
1959,25
1960,18
1961,15
1962,15
1963,13
1964,12
1965,12
1966,13
1967,9
1968,11
1969,6
1970,10
1971,5
1972,0
1973,9
1974,7
1975,0
1976,0
1977,0
1978,0
1979,0
1980,5
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
