year,Burnetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,7
1903,0
1904,0
1905,0
1906,7
1907,0
1908,5
1909,0
1910,5
1911,0
1912,10
1913,8
1914,12
1915,18
1916,11
1917,14
1918,23
1919,7
1920,10
1921,15
1922,23
1923,20
1924,17
1925,18
1926,13
1927,14
1928,19
1929,17
1930,21
1931,12
1932,10
1933,6
1934,13
1935,6
1936,11
1937,12
1938,10
1939,8
1940,8
1941,14
1942,11
1943,10
1944,12
1945,10
1946,8
1947,23
1948,14
1949,9
1950,14
1951,18
1952,12
1953,13
1954,16
1955,17
1956,9
1957,13
1958,10
1959,9
1960,11
1961,16
1962,8
1963,13
1964,5
1965,13
1966,7
1967,0
1968,6
1969,7
1970,0
1971,0
1972,6
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
