year,Bruno (F),Bruno (M)
1880,0.000000,0.000035
1881,0.000000,0.000031
1882,0.000000,0.000023
1883,0.000000,0.000000
1884,0.000000,0.000029
1885,0.000000,0.000029
1886,0.000000,0.000020
1887,0.000000,0.000049
1888,0.000000,0.000020
1889,0.000000,0.000024
1890,0.000000,0.000033
1891,0.000000,0.000052
1892,0.000000,0.000042
1893,0.000000,0.000031
1894,0.000000,0.000053
1895,0.000000,0.000040
1896,0.000000,0.000036
1897,0.000000,0.000035
1898,0.000000,0.000045
1899,0.000000,0.000021
1900,0.000000,0.000058
1901,0.000000,0.000038
1902,0.000000,0.000039
1903,0.000000,0.000024
1904,0.000000,0.000045
1905,0.000000,0.000054
1906,0.000000,0.000044
1907,0.000000,0.000043
1908,0.000000,0.000055
1909,0.000000,0.000065
1910,0.000000,0.000091
1911,0.000000,0.000084
1912,0.000000,0.000129
1913,0.000000,0.000158
1914,0.000000,0.000155
1915,0.000000,0.000190
1916,0.000000,0.000182
1917,0.000000,0.000163
1918,0.000000,0.000160
1919,0.000000,0.000124
1920,0.000000,0.000129
1921,0.000000,0.000133
1922,0.000000,0.000114
1923,0.000000,0.000124
1924,0.000000,0.000110
1925,0.000000,0.000090
1926,0.000000,0.000091
1927,0.000000,0.000082
1928,0.000000,0.000076
1929,0.000000,0.000067
1930,0.000000,0.000072
1931,0.000000,0.000058
1932,0.000000,0.000046
1933,0.000000,0.000056
1934,0.000000,0.000054
1935,0.000000,0.000042
1936,0.000000,0.000041
1937,0.000000,0.000038
1938,0.000000,0.000035
1939,0.000000,0.000025
1940,0.000000,0.000030
1941,0.000000,0.000037
1942,0.000000,0.000029
1943,0.000000,0.000022
1944,0.000000,0.000025
1945,0.000000,0.000022
1946,0.000000,0.000022
1947,0.000000,0.000022
1948,0.000000,0.000014
1949,0.000000,0.000021
1950,0.000000,0.000020
1951,0.000000,0.000023
1952,0.000000,0.000022
1953,0.000000,0.000023
1954,0.000000,0.000018
1955,0.000000,0.000018
1956,0.000000,0.000023
1957,0.000000,0.000026
1958,0.000000,0.000021
1959,0.000000,0.000022
1960,0.000000,0.000026
1961,0.000000,0.000025
1962,0.000000,0.000022
1963,0.000000,0.000026
1964,0.000000,0.000022
1965,0.000000,0.000024
1966,0.000000,0.000022
1967,0.000000,0.000026
1968,0.000000,0.000028
1969,0.000000,0.000014
1970,0.000000,0.000021
1971,0.000000,0.000022
1972,0.000000,0.000025
1973,0.000000,0.000021
1974,0.000000,0.000022
1975,0.000000,0.000014
1976,0.000000,0.000017
1977,0.000000,0.000014
1978,0.000000,0.000021
1979,0.000000,0.000017
1980,0.000000,0.000019
1981,0.000000,0.000019
1982,0.000000,0.000022
1983,0.000000,0.000023
1984,0.000000,0.000017
1985,0.000000,0.000019
1986,0.000000,0.000018
1987,0.000000,0.000017
1988,0.000000,0.000021
1989,0.000000,0.000026
1990,0.000000,0.000029
1991,0.000000,0.000024
1992,0.000000,0.000021
1993,0.000000,0.000029
1994,0.000000,0.000025
1995,0.000000,0.000029
1996,0.000000,0.000034
1997,0.000000,0.000033
1998,0.000000,0.000030
1999,0.000000,0.000032
2000,0.000000,0.000041
2001,0.000000,0.000043
2002,0.000000,0.000059
2003,0.000000,0.000059
2004,0.000000,0.000060
2005,0.000000,0.000062
2006,0.000000,0.000065
2007,0.000000,0.000066
2008,0.000000,0.000070
2009,0.000000,0.000064
2010,0.000000,0.000080
2011,0.000000,0.000071
2012,0.000000,0.000078
2013,0.000000,0.000104
2014,0.000000,0.000103
2015,0.000000,0.000094
2016,0.000000,0.000105
2017,0.000000,0.000113
2018,0.000000,0.000108
2019,0.000000,0.000099
2020,0.000000,0.000106
