year,Beaulah
1880,0
1881,0
1882,5
1883,6
1884,5
1885,0
1886,8
1887,7
1888,11
1889,10
1890,10
1891,11
1892,19
1893,11
1894,19
1895,15
1896,12
1897,22
1898,26
1899,15
1900,36
1901,17
1902,25
1903,21
1904,21
1905,21
1906,26
1907,27
1908,25
1909,27
1910,29
1911,44
1912,37
1913,33
1914,41
1915,66
1916,70
1917,59
1918,71
1919,64
1920,69
1921,81
1922,79
1923,81
1924,74
1925,61
1926,54
1927,67
1928,64
1929,47
1930,34
1931,24
1932,47
1933,36
1934,32
1935,35
1936,34
1937,22
1938,27
1939,19
1940,27
1941,22
1942,29
1943,23
1944,17
1945,21
1946,19
1947,23
1948,12
1949,16
1950,16
1951,10
1952,17
1953,8
1954,8
1955,9
1956,6
1957,0
1958,6
1959,0
1960,7
1961,8
1962,0
1963,5
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,5
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
