year,Byran
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,6
1922,0
1923,0
1924,0
1925,8
1926,0
1927,0
1928,5
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,6
1943,0
1944,5
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,10
1953,5
1954,10
1955,9
1956,6
1957,12
1958,21
1959,14
1960,17
1961,13
1962,17
1963,20
1964,21
1965,21
1966,22
1967,19
1968,9
1969,38
1970,19
1971,21
1972,21
1973,31
1974,22
1975,30
1976,33
1977,35
1978,23
1979,23
1980,32
1981,40
1982,29
1983,29
1984,24
1985,47
1986,48
1987,41
1988,37
1989,45
1990,41
1991,30
1992,35
1993,35
1994,34
1995,18
1996,15
1997,33
1998,20
1999,11
2000,13
2001,13
2002,15
2003,19
2004,7
2005,17
2006,10
2007,10
2008,5
2009,13
2010,5
2011,8
2012,20
