year,Blondie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,7
1916,5
1917,5
1918,0
1919,7
1920,0
1921,5
1922,6
1923,0
1924,7
1925,0
1926,6
1927,5
1928,0
1929,5
1930,0
1931,7
1932,0
1933,6
1934,6
1935,0
1936,0
1937,0
1938,0
1939,0
1940,12
1941,6
1942,18
1943,13
1944,8
1945,9
1946,14
1947,14
1948,8
1949,10
1950,18
1951,10
1952,9
1953,7
1954,14
1955,14
1956,12
1957,19
1958,13
1959,14
1960,7
1961,7
1962,8
1963,5
1964,0
1965,0
1966,0
1967,0
1968,7
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,7
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
