year,Betsey
1880,0
1881,0
1882,0
1883,0
1884,5
1885,5
1886,0
1887,0
1888,10
1889,13
1890,10
1891,0
1892,0
1893,5
1894,8
1895,0
1896,9
1897,0
1898,0
1899,0
1900,6
1901,6
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,5
1909,5
1910,0
1911,0
1912,8
1913,0
1914,15
1915,12
1916,17
1917,19
1918,17
1919,19
1920,16
1921,29
1922,27
1923,25
1924,16
1925,25
1926,23
1927,18
1928,28
1929,23
1930,16
1931,23
1932,29
1933,31
1934,24
1935,23
1936,43
1937,34
1938,46
1939,35
1940,42
1941,43
1942,62
1943,55
1944,37
1945,58
1946,45
1947,59
1948,46
1949,48
1950,38
1951,50
1952,36
1953,41
1954,36
1955,28
1956,39
1957,39
1958,43
1959,43
1960,37
1961,38
1962,38
1963,45
1964,35
1965,23
1966,21
1967,20
1968,14
1969,18
1970,23
1971,27
1972,37
1973,23
1974,16
1975,23
1976,36
1977,31
1978,30
1979,32
1980,25
1981,28
1982,22
1983,21
1984,19
1985,16
1986,14
1987,14
1988,8
1989,10
1990,11
1991,10
1992,7
1993,8
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,6
2002,0
2003,0
2004,6
2005,0
2006,7
2007,5
2008,5
2009,9
2010,5
2011,11
2012,5
