year,Blake (F),Blake (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000023
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000035
1887,0.000000,0.000000
1888,0.000000,0.000017
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000024
1893,0.000000,0.000018
1894,0.000000,0.000021
1895,0.000000,0.000014
1896,0.000000,0.000000
1897,0.000000,0.000017
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000014
1902,0.000000,0.000000
1903,0.000000,0.000018
1904,0.000000,0.000012
1905,0.000000,0.000000
1906,0.000000,0.000021
1907,0.000000,0.000000
1908,0.000000,0.000012
1909,0.000000,0.000016
1910,0.000000,0.000017
1911,0.000000,0.000019
1912,0.000000,0.000013
1913,0.000000,0.000014
1914,0.000000,0.000014
1915,0.000000,0.000021
1916,0.000000,0.000015
1917,0.000000,0.000019
1918,0.000000,0.000018
1919,0.000000,0.000021
1920,0.000000,0.000022
1921,0.000000,0.000026
1922,0.000000,0.000017
1923,0.000000,0.000018
1924,0.000000,0.000017
1925,0.000000,0.000016
1926,0.000000,0.000016
1927,0.000000,0.000018
1928,0.000000,0.000016
1929,0.000000,0.000014
1930,0.000000,0.000013
1931,0.000000,0.000015
1932,0.000000,0.000016
1933,0.000000,0.000021
1934,0.000000,0.000017
1935,0.000000,0.000016
1936,0.000000,0.000014
1937,0.000000,0.000013
1938,0.000000,0.000013
1939,0.000000,0.000014
1940,0.000000,0.000014
1941,0.000000,0.000014
1942,0.000000,0.000016
1943,0.000000,0.000021
1944,0.000000,0.000015
1945,0.000000,0.000019
1946,0.000000,0.000022
1947,0.000000,0.000024
1948,0.000000,0.000022
1949,0.000000,0.000026
1950,0.000000,0.000037
1951,0.000001,0.000038
1952,0.000000,0.000056
1953,0.000002,0.000054
1954,0.000000,0.000070
1955,0.000000,0.000070
1956,0.000000,0.000068
1957,0.000000,0.000069
1958,0.000000,0.000088
1959,0.000000,0.000099
1960,0.000000,0.000105
1961,0.000000,0.000123
1962,0.000002,0.000136
1963,0.000002,0.000144
1964,0.000002,0.000122
1965,0.000003,0.000123
1966,0.000003,0.000115
1967,0.000003,0.000125
1968,0.000006,0.000120
1969,0.000004,0.000150
1970,0.000005,0.000146
1971,0.000004,0.000138
1972,0.000007,0.000147
1973,0.000005,0.000144
1974,0.000007,0.000138
1975,0.000008,0.000173
1976,0.000004,0.000183
1977,0.000008,0.000203
1978,0.000011,0.000210
1979,0.000013,0.000224
1980,0.000011,0.000281
1981,0.000019,0.000492
1982,0.000016,0.000670
1983,0.000013,0.000721
1984,0.000013,0.000792
1985,0.000017,0.000818
1986,0.000025,0.000783
1987,0.000029,0.000773
1988,0.000025,0.000839
1989,0.000038,0.000916
1990,0.000051,0.001038
1991,0.000051,0.001098
1992,0.000049,0.001144
1993,0.000052,0.001195
1994,0.000052,0.001312
1995,0.000055,0.001316
1996,0.000052,0.001302
1997,0.000057,0.001305
1998,0.000047,0.001253
1999,0.000047,0.001302
2000,0.000048,0.001361
2001,0.000038,0.001432
2002,0.000035,0.001434
2003,0.000028,0.001388
2004,0.000030,0.001229
2005,0.000022,0.001150
2006,0.000023,0.001146
2007,0.000023,0.001320
2008,0.000041,0.001298
2009,0.000060,0.001296
2010,0.000065,0.001274
2011,0.000089,0.001536
2012,0.000110,0.001655
