year,Blain
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,5
1915,7
1916,12
1917,0
1918,12
1919,6
1920,8
1921,20
1922,9
1923,18
1924,9
1925,10
1926,6
1927,8
1928,13
1929,0
1930,14
1931,8
1932,0
1933,10
1934,8
1935,8
1936,7
1937,6
1938,6
1939,9
1940,10
1941,7
1942,5
1943,7
1944,9
1945,0
1946,9
1947,6
1948,11
1949,8
1950,13
1951,16
1952,13
1953,14
1954,17
1955,15
1956,11
1957,26
1958,31
1959,26
1960,28
1961,38
1962,39
1963,29
1964,25
1965,30
1966,21
1967,32
1968,29
1969,28
1970,33
1971,31
1972,24
1973,23
1974,16
1975,21
1976,19
1977,21
1978,32
1979,22
1980,23
1981,18
1982,28
1983,13
1984,27
1985,25
1986,30
1987,38
1988,55
1989,43
1990,41
1991,52
1992,42
1993,29
1994,34
1995,26
1996,30
1997,40
1998,37
1999,33
2000,38
2001,36
2002,48
2003,58
2004,30
2005,31
2006,41
2007,35
2008,27
2009,39
2010,18
2011,33
2012,19
