year,Berneice
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,6
1894,6
1895,0
1896,7
1897,7
1898,9
1899,14
1900,19
1901,17
1902,14
1903,25
1904,26
1905,21
1906,21
1907,20
1908,26
1909,28
1910,39
1911,27
1912,57
1913,77
1914,66
1915,116
1916,110
1917,123
1918,154
1919,139
1920,123
1921,117
1922,131
1923,112
1924,135
1925,107
1926,85
1927,102
1928,85
1929,83
1930,64
1931,75
1932,83
1933,56
1934,56
1935,44
1936,54
1937,38
1938,41
1939,37
1940,34
1941,28
1942,33
1943,31
1944,26
1945,24
1946,19
1947,13
1948,21
1949,15
1950,15
1951,16
1952,9
1953,14
1954,11
1955,7
1956,7
1957,13
1958,11
1959,12
1960,9
1961,7
1962,0
1963,5
1964,6
1965,0
1966,5
1967,0
1968,0
1969,0
1970,5
1971,0
1972,0
1973,0
1974,0
1975,0
1976,5
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
