year,Brady (F),Brady (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000037
1884,0.000000,0.000025
1885,0.000000,0.000029
1886,0.000000,0.000051
1887,0.000000,0.000020
1888,0.000000,0.000030
1889,0.000000,0.000042
1890,0.000000,0.000030
1891,0.000000,0.000024
1892,0.000000,0.000024
1893,0.000000,0.000022
1894,0.000000,0.000015
1895,0.000000,0.000031
1896,0.000000,0.000036
1897,0.000000,0.000029
1898,0.000000,0.000021
1899,0.000000,0.000041
1900,0.000000,0.000024
1901,0.000000,0.000040
1902,0.000000,0.000036
1903,0.000016,0.000042
1904,0.000000,0.000040
1905,0.000000,0.000024
1906,0.000000,0.000033
1907,0.000000,0.000024
1908,0.000000,0.000039
1909,0.000000,0.000041
1910,0.000000,0.000036
1911,0.000000,0.000033
1912,0.000000,0.000030
1913,0.000000,0.000041
1914,0.000000,0.000035
1915,0.000000,0.000032
1916,0.000000,0.000035
1917,0.000000,0.000030
1918,0.000000,0.000027
1919,0.000000,0.000033
1920,0.000000,0.000042
1921,0.000003,0.000026
1922,0.000003,0.000030
1923,0.000000,0.000025
1924,0.000000,0.000036
1925,0.000000,0.000027
1926,0.000000,0.000029
1927,0.000000,0.000035
1928,0.000000,0.000026
1929,0.000002,0.000023
1930,0.000000,0.000030
1931,0.000000,0.000027
1932,0.000000,0.000028
1933,0.000000,0.000028
1934,0.000000,0.000027
1935,0.000000,0.000020
1936,0.000000,0.000026
1937,0.000000,0.000023
1938,0.000000,0.000027
1939,0.000000,0.000030
1940,0.000000,0.000022
1941,0.000000,0.000023
1942,0.000000,0.000021
1943,0.000000,0.000025
1944,0.000000,0.000020
1945,0.000000,0.000025
1946,0.000000,0.000026
1947,0.000000,0.000024
1948,0.000001,0.000025
1949,0.000000,0.000024
1950,0.000000,0.000029
1951,0.000000,0.000025
1952,0.000000,0.000030
1953,0.000000,0.000029
1954,0.000002,0.000038
1955,0.000000,0.000042
1956,0.000000,0.000040
1957,0.000000,0.000038
1958,0.000000,0.000044
1959,0.000000,0.000034
1960,0.000000,0.000032
1961,0.000001,0.000035
1962,0.000001,0.000035
1963,0.000002,0.000044
1964,0.000001,0.000040
1965,0.000000,0.000040
1966,0.000001,0.000044
1967,0.000000,0.000049
1968,0.000001,0.000059
1969,0.000000,0.000077
1970,0.000003,0.000145
1971,0.000002,0.000138
1972,0.000004,0.000144
1973,0.000008,0.000155
1974,0.000007,0.000158
1975,0.000006,0.000155
1976,0.000008,0.000132
1977,0.000005,0.000124
1978,0.000007,0.000140
1979,0.000005,0.000144
1980,0.000010,0.000157
1981,0.000006,0.000162
1982,0.000012,0.000163
1983,0.000007,0.000145
1984,0.000012,0.000200
1985,0.000012,0.000256
1986,0.000011,0.000252
1987,0.000010,0.000243
1988,0.000009,0.000258
1989,0.000006,0.000220
1990,0.000006,0.000202
1991,0.000008,0.000207
1992,0.000009,0.000314
1993,0.000011,0.000488
1994,0.000011,0.000497
1995,0.000014,0.000459
1996,0.000011,0.000525
1997,0.000012,0.000597
1998,0.000011,0.000570
1999,0.000012,0.000511
2000,0.000009,0.000499
2001,0.000010,0.000576
2002,0.000010,0.000712
2003,0.000011,0.000754
2004,0.000013,0.000882
2005,0.000011,0.000985
2006,0.000016,0.001033
2007,0.000016,0.001240
2008,0.000014,0.001227
2009,0.000013,0.000982
2010,0.000008,0.000877
2011,0.000007,0.000833
2012,0.000011,0.000785
2013,0.000008,0.000643
