year,Beadie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,7
1889,0
1890,0
1891,0
1892,0
1893,0
1894,6
1895,10
1896,0
1897,9
1898,8
1899,5
1900,8
1901,5
1902,6
1903,6
1904,11
1905,16
1906,7
1907,8
1908,13
1909,8
1910,9
1911,8
1912,14
1913,13
1914,12
1915,10
1916,14
1917,15
1918,23
1919,12
1920,13
1921,13
1922,10
1923,8
1924,12
1925,11
1926,12
1927,5
1928,11
1929,0
1930,5
1931,5
1932,5
1933,5
1934,8
1935,7
1936,7
1937,9
1938,0
1939,5
1940,7
1941,0
1942,0
1943,5
1944,0
1945,0
1946,0
1947,0
1948,0
1949,5
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
