year,Barry (F),Barry (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000023
1884,0.000000,0.000033
1885,0.000000,0.000033
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000024
1890,0.000000,0.000000
1891,0.000000,0.000028
1892,0.000000,0.000021
1893,0.000000,0.000028
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000016
1899,0.000000,0.000024
1900,0.000000,0.000022
1901,0.000000,0.000017
1902,0.000000,0.000000
1903,0.000000,0.000024
1904,0.000000,0.000012
1905,0.000000,0.000012
1906,0.000000,0.000026
1907,0.000000,0.000015
1908,0.000000,0.000012
1909,0.000000,0.000025
1910,0.000000,0.000025
1911,0.000000,0.000012
1912,0.000000,0.000020
1913,0.000000,0.000012
1914,0.000000,0.000023
1915,0.000000,0.000019
1916,0.000000,0.000010
1917,0.000000,0.000014
1918,0.000000,0.000019
1919,0.000000,0.000015
1920,0.000000,0.000012
1921,0.000000,0.000016
1922,0.000000,0.000016
1923,0.000000,0.000023
1924,0.000000,0.000022
1925,0.000000,0.000030
1926,0.000000,0.000034
1927,0.000000,0.000043
1928,0.000000,0.000063
1929,0.000000,0.000067
1930,0.000000,0.000108
1931,0.000002,0.000142
1932,0.000000,0.000243
1933,0.000000,0.000245
1934,0.000000,0.000252
1935,0.000003,0.000348
1936,0.000000,0.000340
1937,0.000002,0.000340
1938,0.000005,0.000471
1939,0.000000,0.000625
1940,0.000003,0.000797
1941,0.000005,0.001012
1942,0.000005,0.001174
1943,0.000008,0.001131
1944,0.000003,0.001109
1945,0.000005,0.001183
1946,0.000005,0.001448
1947,0.000006,0.001519
1948,0.000002,0.001352
1949,0.000004,0.001321
1950,0.000005,0.001340
1951,0.000004,0.001434
1952,0.000006,0.001448
1953,0.000003,0.001343
1954,0.000005,0.001464
1955,0.000005,0.001396
1956,0.000005,0.001451
1957,0.000006,0.001378
1958,0.000005,0.001288
1959,0.000006,0.001348
1960,0.000006,0.001380
1961,0.000004,0.001502
1962,0.000006,0.001631
1963,0.000008,0.001506
1964,0.000004,0.001380
1965,0.000005,0.001192
1966,0.000007,0.001127
1967,0.000005,0.000945
1968,0.000004,0.000846
1969,0.000004,0.000882
1970,0.000004,0.000776
1971,0.000004,0.000689
1972,0.000005,0.000558
1973,0.000004,0.000503
1974,0.000003,0.000514
1975,0.000000,0.000490
1976,0.000002,0.000470
1977,0.000003,0.000459
1978,0.000004,0.000473
1979,0.000004,0.000421
1980,0.000004,0.000407
1981,0.000001,0.000390
1982,0.000002,0.000337
1983,0.000003,0.000287
1984,0.000002,0.000275
1985,0.000003,0.000271
1986,0.000002,0.000239
1987,0.000003,0.000219
1988,0.000002,0.000198
1989,0.000001,0.000182
1990,0.000001,0.000176
1991,0.000000,0.000151
1992,0.000001,0.000123
1993,0.000000,0.000128
1994,0.000000,0.000110
1995,0.000000,0.000097
1996,0.000000,0.000093
1997,0.000000,0.000087
1998,0.000000,0.000082
1999,0.000000,0.000072
2000,0.000000,0.000070
2001,0.000000,0.000056
2002,0.000000,0.000052
2003,0.000000,0.000052
2004,0.000000,0.000045
2005,0.000000,0.000041
2006,0.000000,0.000043
2007,0.000000,0.000040
2008,0.000000,0.000040
2009,0.000000,0.000039
2010,0.000000,0.000033
2011,0.000000,0.000032
2012,0.000000,0.000031
2013,0.000000,0.000028
