year,Bradly (F),Bradly (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000000
1940,0.000000,0.000000
1941,0.000000,0.000000
1942,0.000000,0.000000
1943,0.000000,0.000000
1944,0.000000,0.000000
1945,0.000000,0.000000
1946,0.000000,0.000002
1947,0.000000,0.000004
1948,0.000000,0.000004
1949,0.000000,0.000007
1950,0.000000,0.000006
1951,0.000000,0.000008
1952,0.000000,0.000012
1953,0.000000,0.000014
1954,0.000000,0.000014
1955,0.000000,0.000016
1956,0.000000,0.000015
1957,0.000000,0.000017
1958,0.000000,0.000018
1959,0.000000,0.000022
1960,0.000000,0.000026
1961,0.000000,0.000029
1962,0.000000,0.000023
1963,0.000000,0.000024
1964,0.000000,0.000032
1965,0.000000,0.000033
1966,0.000000,0.000026
1967,0.000000,0.000036
1968,0.000000,0.000036
1969,0.000000,0.000050
1970,0.000000,0.000052
1971,0.000000,0.000046
1972,0.000000,0.000045
1973,0.000000,0.000044
1974,0.000000,0.000048
1975,0.000000,0.000053
1976,0.000000,0.000054
1977,0.000000,0.000055
1978,0.000000,0.000050
1979,0.000000,0.000061
1980,0.000000,0.000062
1981,0.000000,0.000059
1982,0.000000,0.000063
1983,0.000000,0.000056
1984,0.000000,0.000053
1985,0.000000,0.000060
1986,0.000001,0.000062
1987,0.000000,0.000061
1988,0.000000,0.000056
1989,0.000000,0.000061
1990,0.000002,0.000064
1991,0.000000,0.000053
1992,0.000000,0.000055
1993,0.000000,0.000052
1994,0.000000,0.000051
1995,0.000000,0.000052
1996,0.000000,0.000046
1997,0.000000,0.000056
1998,0.000000,0.000055
1999,0.000000,0.000043
2000,0.000000,0.000043
2001,0.000000,0.000037
2002,0.000000,0.000036
2003,0.000000,0.000033
2004,0.000000,0.000030
2005,0.000000,0.000033
2006,0.000000,0.000033
2007,0.000000,0.000027
2008,0.000000,0.000029
2009,0.000000,0.000023
2010,0.000000,0.000026
2011,0.000000,0.000020
2012,0.000000,0.000018
2013,0.000000,0.000017
