year,Brinda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,5
1940,8
1941,12
1942,14
1943,26
1944,23
1945,25
1946,30
1947,56
1948,55
1949,61
1950,72
1951,88
1952,98
1953,74
1954,73
1955,69
1956,97
1957,81
1958,76
1959,56
1960,61
1961,79
1962,66
1963,53
1964,51
1965,47
1966,37
1967,32
1968,27
1969,30
1970,17
1971,23
1972,18
1973,21
1974,13
1975,8
1976,18
1977,15
1978,7
1979,6
1980,10
1981,14
1982,6
1983,8
1984,5
1985,8
1986,8
1987,6
1988,8
1989,10
1990,14
1991,13
1992,13
1993,17
1994,10
1995,12
1996,14
1997,11
1998,8
1999,9
2000,14
2001,17
2002,12
2003,12
2004,9
2005,14
2006,12
2007,9
2008,15
2009,8
2010,7
2011,10
2012,8
