year,Brigid
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,6
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,5
1928,0
1929,0
1930,0
1931,0
1932,7
1933,0
1934,0
1935,0
1936,7
1937,7
1938,10
1939,11
1940,8
1941,6
1942,14
1943,16
1944,12
1945,9
1946,27
1947,25
1948,27
1949,25
1950,27
1951,34
1952,37
1953,41
1954,52
1955,57
1956,51
1957,54
1958,78
1959,92
1960,97
1961,94
1962,108
1963,101
1964,111
1965,117
1966,108
1967,74
1968,89
1969,63
1970,59
1971,67
1972,52
1973,59
1974,60
1975,47
1976,64
1977,75
1978,76
1979,83
1980,87
1981,82
1982,86
1983,83
1984,83
1985,100
1986,73
1987,91
1988,80
1989,87
1990,98
1991,96
1992,89
1993,98
1994,100
1995,97
1996,113
1997,107
1998,116
1999,119
2000,132
2001,129
2002,114
2003,123
2004,118
2005,109
2006,106
2007,91
2008,98
2009,89
2010,82
2011,79
2012,84
