year,Bettyann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,5
1918,0
1919,13
1920,6
1921,19
1922,14
1923,20
1924,24
1925,19
1926,20
1927,16
1928,21
1929,33
1930,34
1931,29
1932,25
1933,21
1934,28
1935,19
1936,37
1937,39
1938,39
1939,36
1940,41
1941,50
1942,47
1943,58
1944,43
1945,24
1946,34
1947,39
1948,33
1949,23
1950,38
1951,21
1952,22
1953,21
1954,24
1955,20
1956,21
1957,23
1958,23
1959,28
1960,25
1961,25
1962,21
1963,20
1964,10
1965,16
1966,17
1967,18
1968,12
1969,0
1970,7
1971,10
1972,7
1973,5
1974,0
1975,7
1976,0
1977,7
1978,0
1979,0
1980,5
1981,0
1982,0
1983,0
1984,7
1985,0
1986,0
1987,0
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,5
1999,0
2000,0
2001,7
2002,0
2003,0
2004,0
2005,5
2006,0
2007,6
2008,5
2009,0
2010,0
2011,0
2012,0
