year,Baxter (F),Baxter (M)
1880,0.000000,0.000055
1881,0.000000,0.000031
1882,0.000000,0.000032
1883,0.000000,0.000028
1884,0.000000,0.000033
1885,0.000000,0.000033
1886,0.000000,0.000051
1887,0.000000,0.000049
1888,0.000000,0.000033
1889,0.000000,0.000024
1890,0.000000,0.000030
1891,0.000000,0.000017
1892,0.000000,0.000024
1893,0.000000,0.000025
1894,0.000000,0.000021
1895,0.000000,0.000020
1896,0.000000,0.000028
1897,0.000000,0.000029
1898,0.000000,0.000018
1899,0.000000,0.000015
1900,0.000000,0.000022
1901,0.000000,0.000020
1902,0.000000,0.000023
1903,0.000000,0.000018
1904,0.000000,0.000017
1905,0.000000,0.000019
1906,0.000000,0.000014
1907,0.000000,0.000019
1908,0.000000,0.000023
1909,0.000000,0.000020
1910,0.000000,0.000017
1911,0.000000,0.000019
1912,0.000000,0.000024
1913,0.000000,0.000024
1914,0.000000,0.000028
1915,0.000000,0.000022
1916,0.000000,0.000021
1917,0.000000,0.000023
1918,0.000000,0.000017
1919,0.000000,0.000020
1920,0.000000,0.000019
1921,0.000000,0.000018
1922,0.000000,0.000019
1923,0.000000,0.000020
1924,0.000000,0.000024
1925,0.000000,0.000012
1926,0.000000,0.000017
1927,0.000000,0.000023
1928,0.000000,0.000015
1929,0.000000,0.000013
1930,0.000000,0.000017
1931,0.000000,0.000018
1932,0.000000,0.000014
1933,0.000000,0.000020
1934,0.000000,0.000014
1935,0.000000,0.000018
1936,0.000000,0.000015
1937,0.000000,0.000014
1938,0.000000,0.000016
1939,0.000000,0.000015
1940,0.000000,0.000008
1941,0.000000,0.000012
1942,0.000000,0.000007
1943,0.000000,0.000014
1944,0.000000,0.000011
1945,0.000000,0.000008
1946,0.000000,0.000012
1947,0.000000,0.000011
1948,0.000000,0.000010
1949,0.000000,0.000007
1950,0.000000,0.000008
1951,0.000000,0.000008
1952,0.000000,0.000008
1953,0.000000,0.000007
1954,0.000000,0.000007
1955,0.000000,0.000007
1956,0.000000,0.000007
1957,0.000000,0.000005
1958,0.000000,0.000008
1959,0.000000,0.000008
1960,0.000000,0.000008
1961,0.000000,0.000006
1962,0.000000,0.000005
1963,0.000000,0.000006
1964,0.000000,0.000007
1965,0.000000,0.000005
1966,0.000000,0.000004
1967,0.000000,0.000005
1968,0.000000,0.000004
1969,0.000000,0.000005
1970,0.000000,0.000004
1971,0.000000,0.000005
1972,0.000000,0.000005
1973,0.000000,0.000005
1974,0.000000,0.000005
1975,0.000000,0.000003
1976,0.000000,0.000004
1977,0.000000,0.000003
1978,0.000000,0.000002
1979,0.000000,0.000002
1980,0.000000,0.000002
1981,0.000000,0.000003
1982,0.000000,0.000006
1983,0.000000,0.000002
1984,0.000000,0.000002
1985,0.000000,0.000005
1986,0.000000,0.000005
1987,0.000000,0.000005
1988,0.000000,0.000008
1989,0.000000,0.000010
1990,0.000000,0.000010
1991,0.000000,0.000006
1992,0.000000,0.000010
1993,0.000000,0.000008
1994,0.000000,0.000011
1995,0.000000,0.000011
1996,0.000000,0.000012
1997,0.000000,0.000011
1998,0.000000,0.000015
1999,0.000000,0.000010
2000,0.000000,0.000011
2001,0.000000,0.000011
2002,0.000000,0.000010
2003,0.000000,0.000010
2004,0.000000,0.000012
2005,0.000000,0.000012
2006,0.000000,0.000009
2007,0.000000,0.000008
2008,0.000000,0.000015
2009,0.000000,0.000010
2010,0.000000,0.000010
2011,0.000000,0.000017
2012,0.000000,0.000016
2013,0.000000,0.000019
2014,0.000000,0.000020
2015,0.000000,0.000018
2016,0.000000,0.000016
2017,0.000000,0.000018
2018,0.000000,0.000018
2019,0.000000,0.000015
2020,0.000000,0.000014
