year,Benito (F),Benito (M)
1880,0.000000,0.000035
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000020
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000033
1891,0.000000,0.000021
1892,0.000000,0.000018
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000017
1897,0.000000,0.000000
1898,0.000000,0.000013
1899,0.000000,0.000021
1900,0.000000,0.000022
1901,0.000000,0.000026
1902,0.000000,0.000000
1903,0.000000,0.000026
1904,0.000000,0.000012
1905,0.000000,0.000014
1906,0.000000,0.000037
1907,0.000000,0.000028
1908,0.000000,0.000023
1909,0.000000,0.000025
1910,0.000000,0.000039
1911,0.000000,0.000028
1912,0.000000,0.000024
1913,0.000000,0.000011
1914,0.000000,0.000021
1915,0.000000,0.000019
1916,0.000000,0.000023
1917,0.000000,0.000033
1918,0.000000,0.000027
1919,0.000000,0.000030
1920,0.000000,0.000037
1921,0.000000,0.000032
1922,0.000000,0.000038
1923,0.000000,0.000038
1924,0.000000,0.000051
1925,0.000000,0.000044
1926,0.000000,0.000031
1927,0.000000,0.000041
1928,0.000000,0.000052
1929,0.000000,0.000060
1930,0.000000,0.000046
1931,0.000000,0.000050
1932,0.000000,0.000038
1933,0.000000,0.000045
1934,0.000000,0.000050
1935,0.000000,0.000046
1936,0.000000,0.000045
1937,0.000002,0.000038
1938,0.000000,0.000034
1939,0.000000,0.000037
1940,0.000000,0.000040
1941,0.000000,0.000039
1942,0.000000,0.000029
1943,0.000000,0.000032
1944,0.000000,0.000034
1945,0.000000,0.000037
1946,0.000000,0.000039
1947,0.000000,0.000034
1948,0.000000,0.000034
1949,0.000000,0.000042
1950,0.000000,0.000039
1951,0.000000,0.000034
1952,0.000000,0.000033
1953,0.000000,0.000038
1954,0.000000,0.000035
1955,0.000001,0.000034
1956,0.000000,0.000032
1957,0.000000,0.000031
1958,0.000000,0.000035
1959,0.000000,0.000025
1960,0.000000,0.000032
1961,0.000000,0.000027
1962,0.000000,0.000032
1963,0.000000,0.000035
1964,0.000000,0.000044
1965,0.000000,0.000041
1966,0.000000,0.000035
1967,0.000000,0.000038
1968,0.000000,0.000047
1969,0.000000,0.000042
1970,0.000000,0.000046
1971,0.000000,0.000045
1972,0.000000,0.000045
1973,0.000000,0.000048
1974,0.000000,0.000055
1975,0.000000,0.000050
1976,0.000000,0.000057
1977,0.000002,0.000054
1978,0.000000,0.000049
1979,0.000000,0.000053
1980,0.000000,0.000052
1981,0.000002,0.000048
1982,0.000000,0.000050
1983,0.000000,0.000045
1984,0.000000,0.000045
1985,0.000000,0.000040
1986,0.000001,0.000047
1987,0.000000,0.000042
1988,0.000000,0.000038
1989,0.000000,0.000038
1990,0.000000,0.000041
1991,0.000001,0.000044
1992,0.000000,0.000051
1993,0.000000,0.000047
1994,0.000000,0.000052
1995,0.000000,0.000052
1996,0.000000,0.000054
1997,0.000000,0.000049
1998,0.000000,0.000045
1999,0.000000,0.000048
2000,0.000000,0.000046
2001,0.000000,0.000041
2002,0.000000,0.000039
2003,0.000000,0.000042
2004,0.000000,0.000041
2005,0.000000,0.000040
2006,0.000000,0.000046
2007,0.000000,0.000041
2008,0.000000,0.000037
2009,0.000000,0.000031
2010,0.000000,0.000029
2011,0.000000,0.000034
2012,0.000000,0.000029
2013,0.000000,0.000032
2014,0.000000,0.000025
2015,0.000000,0.000024
2016,0.000000,0.000022
2017,0.000000,0.000029
2018,0.000000,0.000025
2019,0.000000,0.000030
2020,0.000000,0.000030
