year,Barney (F),Barney (M)
1880,0.000000,0.000218
1881,0.000000,0.000208
1882,0.000000,0.000235
1883,0.000000,0.000221
1884,0.000000,0.000255
1885,0.000000,0.000179
1886,0.000000,0.000255
1887,0.000000,0.000234
1888,0.000000,0.000230
1889,0.000000,0.000187
1890,0.000000,0.000146
1891,0.000000,0.000171
1892,0.000000,0.000209
1893,0.000000,0.000194
1894,0.000000,0.000154
1895,0.000000,0.000157
1896,0.000000,0.000162
1897,0.000000,0.000167
1898,0.000000,0.000191
1899,0.000000,0.000147
1900,0.000000,0.000184
1901,0.000000,0.000098
1902,0.000000,0.000129
1903,0.000000,0.000131
1904,0.000000,0.000131
1905,0.000000,0.000165
1906,0.000000,0.000166
1907,0.000000,0.000138
1908,0.000000,0.000119
1909,0.000000,0.000121
1910,0.000000,0.000120
1911,0.000000,0.000154
1912,0.000000,0.000161
1913,0.000000,0.000163
1914,0.000000,0.000170
1915,0.000000,0.000151
1916,0.000004,0.000137
1917,0.000000,0.000148
1918,0.000000,0.000138
1919,0.000000,0.000144
1920,0.000002,0.000116
1921,0.000003,0.000124
1922,0.000000,0.000115
1923,0.000003,0.000112
1924,0.000000,0.000115
1925,0.000003,0.000099
1926,0.000002,0.000093
1927,0.000003,0.000084
1928,0.000000,0.000092
1929,0.000000,0.000094
1930,0.000000,0.000098
1931,0.000000,0.000086
1932,0.000000,0.000078
1933,0.000000,0.000090
1934,0.000000,0.000097
1935,0.000000,0.000088
1936,0.000000,0.000099
1937,0.000000,0.000098
1938,0.000000,0.000083
1939,0.000002,0.000085
1940,0.000000,0.000084
1941,0.000000,0.000073
1942,0.000000,0.000066
1943,0.000000,0.000078
1944,0.000002,0.000082
1945,0.000002,0.000080
1946,0.000000,0.000071
1947,0.000002,0.000074
1948,0.000000,0.000074
1949,0.000000,0.000063
1950,0.000000,0.000076
1951,0.000000,0.000070
1952,0.000000,0.000074
1953,0.000000,0.000077
1954,0.000002,0.000065
1955,0.000000,0.000069
1956,0.000000,0.000063
1957,0.000001,0.000065
1958,0.000000,0.000064
1959,0.000000,0.000057
1960,0.000001,0.000064
1961,0.000000,0.000054
1962,0.000000,0.000052
1963,0.000001,0.000042
1964,0.000000,0.000048
1965,0.000000,0.000036
1966,0.000000,0.000035
1967,0.000000,0.000029
1968,0.000000,0.000028
1969,0.000000,0.000028
1970,0.000000,0.000023
1971,0.000000,0.000029
1972,0.000000,0.000029
1973,0.000000,0.000025
1974,0.000000,0.000025
1975,0.000000,0.000021
1976,0.000000,0.000025
1977,0.000000,0.000021
1978,0.000000,0.000020
1979,0.000000,0.000018
1980,0.000000,0.000017
1981,0.000000,0.000015
1982,0.000000,0.000014
1983,0.000000,0.000013
1984,0.000000,0.000012
1985,0.000000,0.000011
1986,0.000000,0.000011
1987,0.000000,0.000009
1988,0.000000,0.000012
1989,0.000000,0.000006
1990,0.000000,0.000008
1991,0.000000,0.000007
1992,0.000000,0.000007
1993,0.000000,0.000006
1994,0.000000,0.000005
1995,0.000000,0.000003
1996,0.000000,0.000002
1997,0.000000,0.000004
1998,0.000000,0.000003
1999,0.000000,0.000002
2000,0.000000,0.000000
2001,0.000000,0.000001
2002,0.000000,0.000002
2003,0.000000,0.000000
2004,0.000000,0.000002
2005,0.000000,0.000000
2006,0.000000,0.000002
2007,0.000000,0.000002
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000002
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000002
