year,Brennan (F),Brennan (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000003
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000000
1940,0.000000,0.000000
1941,0.000000,0.000000
1942,0.000000,0.000000
1943,0.000000,0.000000
1944,0.000000,0.000000
1945,0.000000,0.000000
1946,0.000000,0.000000
1947,0.000000,0.000000
1948,0.000000,0.000000
1949,0.000000,0.000002
1950,0.000000,0.000002
1951,0.000000,0.000001
1952,0.000000,0.000000
1953,0.000000,0.000002
1954,0.000000,0.000002
1955,0.000000,0.000002
1956,0.000000,0.000003
1957,0.000000,0.000002
1958,0.000000,0.000003
1959,0.000000,0.000003
1960,0.000000,0.000004
1961,0.000000,0.000006
1962,0.000000,0.000006
1963,0.000000,0.000008
1964,0.000000,0.000008
1965,0.000001,0.000010
1966,0.000000,0.000015
1967,0.000000,0.000016
1968,0.000000,0.000017
1969,0.000000,0.000019
1970,0.000000,0.000020
1971,0.000000,0.000023
1972,0.000000,0.000018
1973,0.000002,0.000023
1974,0.000002,0.000030
1975,0.000004,0.000034
1976,0.000003,0.000033
1977,0.000003,0.000034
1978,0.000005,0.000038
1979,0.000005,0.000040
1980,0.000007,0.000042
1981,0.000004,0.000040
1982,0.000005,0.000043
1983,0.000007,0.000053
1984,0.000008,0.000067
1985,0.000006,0.000071
1986,0.000008,0.000082
1987,0.000009,0.000117
1988,0.000008,0.000125
1989,0.000009,0.000116
1990,0.000010,0.000153
1991,0.000014,0.000179
1992,0.000013,0.000167
1993,0.000015,0.000176
1994,0.000020,0.000204
1995,0.000017,0.000250
1996,0.000016,0.000246
1997,0.000014,0.000267
1998,0.000018,0.000286
1999,0.000016,0.000300
2000,0.000011,0.000307
2001,0.000016,0.000300
2002,0.000016,0.000300
2003,0.000011,0.000296
2004,0.000017,0.000278
2005,0.000012,0.000274
2006,0.000017,0.000282
2007,0.000025,0.000302
2008,0.000021,0.000335
2009,0.000023,0.000384
2010,0.000022,0.000346
2011,0.000024,0.000323
2012,0.000020,0.000277
2013,0.000018,0.000256
