year,Barnard
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,5
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,12
1914,15
1915,19
1916,13
1917,11
1918,12
1919,20
1920,8
1921,18
1922,18
1923,16
1924,12
1925,23
1926,22
1927,17
1928,7
1929,10
1930,14
1931,8
1932,9
1933,9
1934,11
1935,5
1936,8
1937,8
1938,11
1939,12
1940,9
1941,11
1942,10
1943,11
1944,9
1945,12
1946,6
1947,10
1948,12
1949,13
1950,0
1951,10
1952,13
1953,15
1954,14
1955,10
1956,10
1957,10
1958,15
1959,12
1960,15
1961,18
1962,19
1963,25
1964,19
1965,13
1966,18
1967,17
1968,19
1969,15
1970,12
1971,10
1972,11
1973,12
1974,0
1975,8
1976,11
1977,0
1978,8
1979,7
1980,8
1981,0
1982,0
1983,6
1984,8
1985,0
1986,6
1987,5
1988,0
1989,5
1990,5
1991,0
1992,0
1993,6
1994,7
1995,0
1996,0
1997,0
1998,6
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
