year,Bryant (F),Bryant (M)
1880,0.000000,0.000079
1881,0.000000,0.000047
1882,0.000000,0.000059
1883,0.000000,0.000023
1884,0.000000,0.000025
1885,0.000000,0.000075
1886,0.000000,0.000035
1887,0.000000,0.000024
1888,0.000000,0.000053
1889,0.000000,0.000038
1890,0.000000,0.000046
1891,0.000000,0.000038
1892,0.000000,0.000054
1893,0.000000,0.000043
1894,0.000000,0.000032
1895,0.000000,0.000020
1896,0.000000,0.000073
1897,0.000000,0.000066
1898,0.000000,0.000058
1899,0.000000,0.000047
1900,0.000000,0.000053
1901,0.000000,0.000032
1902,0.000000,0.000028
1903,0.000000,0.000026
1904,0.000000,0.000035
1905,0.000000,0.000026
1906,0.000000,0.000026
1907,0.000000,0.000032
1908,0.000000,0.000047
1909,0.000000,0.000023
1910,0.000000,0.000046
1911,0.000000,0.000031
1912,0.000000,0.000026
1913,0.000000,0.000034
1914,0.000000,0.000038
1915,0.000000,0.000034
1916,0.000000,0.000030
1917,0.000000,0.000028
1918,0.000000,0.000038
1919,0.000000,0.000035
1920,0.000000,0.000046
1921,0.000000,0.000044
1922,0.000000,0.000038
1923,0.000000,0.000033
1924,0.000000,0.000037
1925,0.000000,0.000040
1926,0.000000,0.000039
1927,0.000000,0.000032
1928,0.000000,0.000037
1929,0.000000,0.000038
1930,0.000000,0.000027
1931,0.000000,0.000036
1932,0.000000,0.000042
1933,0.000000,0.000037
1934,0.000000,0.000042
1935,0.000000,0.000041
1936,0.000000,0.000035
1937,0.000000,0.000034
1938,0.000000,0.000039
1939,0.000000,0.000035
1940,0.000000,0.000046
1941,0.000000,0.000026
1942,0.000000,0.000037
1943,0.000000,0.000031
1944,0.000000,0.000040
1945,0.000000,0.000036
1946,0.000000,0.000036
1947,0.000000,0.000034
1948,0.000000,0.000037
1949,0.000000,0.000032
1950,0.000000,0.000035
1951,0.000000,0.000043
1952,0.000000,0.000038
1953,0.000000,0.000047
1954,0.000000,0.000045
1955,0.000000,0.000047
1956,0.000000,0.000060
1957,0.000000,0.000078
1958,0.000000,0.000085
1959,0.000000,0.000084
1960,0.000000,0.000095
1961,0.000000,0.000103
1962,0.000001,0.000112
1963,0.000000,0.000127
1964,0.000002,0.000126
1965,0.000000,0.000147
1966,0.000001,0.000155
1967,0.000002,0.000176
1968,0.000000,0.000200
1969,0.000003,0.000211
1970,0.000002,0.000217
1971,0.000002,0.000210
1972,0.000003,0.000228
1973,0.000000,0.000210
1974,0.000004,0.000186
1975,0.000003,0.000164
1976,0.000002,0.000178
1977,0.000000,0.000178
1978,0.000002,0.000178
1979,0.000003,0.000172
1980,0.000003,0.000178
1981,0.000000,0.000175
1982,0.000002,0.000182
1983,0.000003,0.000200
1984,0.000002,0.000177
1985,0.000001,0.000182
1986,0.000003,0.000252
1987,0.000004,0.000416
1988,0.000004,0.000464
1989,0.000001,0.000452
1990,0.000001,0.000378
1991,0.000003,0.000286
1992,0.000000,0.000282
1993,0.000000,0.000274
1994,0.000001,0.000235
1995,0.000000,0.000247
1996,0.000002,0.000236
1997,0.000001,0.000247
1998,0.000000,0.000244
1999,0.000001,0.000221
2000,0.000002,0.000239
2001,0.000000,0.000255
2002,0.000000,0.000255
2003,0.000000,0.000257
2004,0.000000,0.000254
2005,0.000000,0.000212
2006,0.000000,0.000195
2007,0.000000,0.000178
2008,0.000000,0.000185
2009,0.000000,0.000186
2010,0.000000,0.000168
2011,0.000000,0.000165
2012,0.000000,0.000152
2013,0.000000,0.000132
2014,0.000000,0.000129
2015,0.000000,0.000115
2016,0.000000,0.000128
2017,0.000000,0.000131
2018,0.000000,0.000102
2019,0.000000,0.000078
2020,0.000002,0.000120
