year,Brien
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,5
1926,5
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,7
1934,0
1935,0
1936,0
1937,0
1938,0
1939,11
1940,0
1941,7
1942,10
1943,7
1944,13
1945,13
1946,17
1947,16
1948,14
1949,25
1950,27
1951,26
1952,40
1953,34
1954,40
1955,41
1956,53
1957,69
1958,72
1959,75
1960,71
1961,93
1962,71
1963,100
1964,82
1965,70
1966,85
1967,89
1968,89
1969,97
1970,84
1971,87
1972,69
1973,81
1974,69
1975,68
1976,57
1977,47
1978,66
1979,61
1980,74
1981,69
1982,61
1983,70
1984,50
1985,68
1986,48
1987,48
1988,61
1989,57
1990,52
1991,41
1992,62
1993,40
1994,54
1995,48
1996,44
1997,46
1998,25
1999,49
2000,30
2001,25
2002,36
2003,33
2004,23
2005,27
2006,24
2007,23
2008,11
2009,13
2010,12
2011,9
2012,13
