year,Bernetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,6
1893,7
1894,0
1895,5
1896,12
1897,0
1898,5
1899,0
1900,6
1901,7
1902,8
1903,12
1904,5
1905,11
1906,9
1907,5
1908,18
1909,15
1910,18
1911,9
1912,26
1913,34
1914,46
1915,50
1916,39
1917,53
1918,56
1919,47
1920,48
1921,60
1922,53
1923,47
1924,54
1925,42
1926,49
1927,35
1928,44
1929,36
1930,48
1931,43
1932,40
1933,30
1934,31
1935,38
1936,28
1937,32
1938,29
1939,33
1940,31
1941,33
1942,29
1943,32
1944,32
1945,24
1946,29
1947,35
1948,42
1949,36
1950,48
1951,50
1952,48
1953,50
1954,45
1955,50
1956,46
1957,53
1958,33
1959,50
1960,40
1961,46
1962,24
1963,44
1964,41
1965,31
1966,37
1967,39
1968,30
1969,33
1970,33
1971,45
1972,22
1973,19
1974,22
1975,20
1976,13
1977,16
1978,24
1979,16
1980,9
1981,13
1982,7
1983,11
1984,10
1985,5
1986,6
1987,0
1988,5
1989,6
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
